cidx,country,startIDX,endIDX,startDate,endDate,mean,sd,meanAndsd,count,max


权锟斤拷e锟斤拷值e0.1e0.2

155,,97,443,2020-05-01,2021-04-12,0.15888300231575478,0.1465447446273695,0.15888300231575478&&&0.1465447446273695,347,0.9143060944128697
21,,97,443,2020-05-01,2021-04-12,0.21081216218545865,0.1884478892480148,0.21081216218545865&&&0.1884478892480148,347,0.9879847486519707
71,,97,443,2020-05-01,2021-04-12,0.160610054408321,0.15386946078556232,0.160610054408321&&&0.15386946078556232,347,0.8865064019315854
98,,97,443,2020-05-01,2021-04-12,0.23912063275331638,0.30188725718019926,0.23912063275331638&&&0.30188725718019926,345,4.020063037164734
153,,97,443,2020-05-01,2021-04-12,0.22904906938708902,0.18373572964975485,0.22904906938708902&&&0.18373572964975485,337,0.941895942666368
77,,97,443,2020-05-01,2021-04-12,0.19809685186603335,0.1687481417576891,0.19809685186603335&&&0.1687481417576891,323,0.9395965821149882
56,,97,443,2020-05-01,2021-04-12,0.21522690681045922,0.23026058738864424,0.21522690681045922&&&0.23026058738864424,276,1.4266635003265165
73,,97,443,2020-05-01,2021-04-12,0.1346933488051215,0.15258654217931716,0.1346933488051215&&&0.15258654217931716,347,0.7795943698312182
138,,97,443,2020-05-01,2021-04-12,0.32903850606804236,0.2619038378008719,0.32903850606804236&&&0.2619038378008719,310,1.4414743212114085
124,,97,443,2020-05-01,2021-04-12,0.1314766237434847,0.13729353807023342,0.1314766237434847&&&0.13729353807023342,347,0.7266353509851552


权锟斤拷e锟斤拷值e0.1e0.3

155,,97,443,2020-05-01,2021-04-12,0.15699495942873692,0.14230137877973537,0.15699495942873692&&&0.14230137877973537,347,0.9143060944128697
21,,97,443,2020-05-01,2021-04-12,0.21185340367254413,0.1886849846615861,0.21185340367254413&&&0.1886849846615861,347,0.9879847486519707
71,,97,443,2020-05-01,2021-04-12,0.15911251186898864,0.1502434803599814,0.15911251186898864&&&0.1502434803599814,347,0.8865064019315854
98,,97,443,2020-05-01,2021-04-12,0.23982930274644307,0.3015635079166231,0.23982930274644307&&&0.3015635079166231,345,4.020063037164734
153,,97,443,2020-05-01,2021-04-12,0.22800806224336748,0.18375384232121322,0.22800806224336748&&&0.18375384232121322,337,0.941895942666368
77,,97,443,2020-05-01,2021-04-12,0.19965386089636963,0.1705866291972148,0.19965386089636963&&&0.1705866291972148,323,0.9395965821149882
56,,97,443,2020-05-01,2021-04-12,0.21522690681045922,0.23026058738864424,0.21522690681045922&&&0.23026058738864424,276,1.4266635003265165
73,,97,443,2020-05-01,2021-04-12,0.13320218620691046,0.1499417390548204,0.13320218620691046&&&0.1499417390548204,347,0.7795943698312182
138,,97,443,2020-05-01,2021-04-12,0.32880318492260885,0.2620343348329991,0.32880318492260885&&&0.2620343348329991,310,1.4414743212114085
124,,97,443,2020-05-01,2021-04-12,0.1314766237434847,0.13729353807023342,0.1314766237434847&&&0.13729353807023342,347,0.7266353509851552


权锟斤拷e锟斤拷值e0.1e0.4

155,,97,443,2020-05-01,2021-04-12,0.15560888770277628,0.13846521129139555,0.15560888770277628&&&0.13846521129139555,347,0.9143060944128697
