location_name,date,deaths,lower,upper,model_date,model
Afghanistan,2020-03-09,0,0,0,2020-06-17,lanl
Albania,2020-03-09,0,0,0,2020-06-17,lanl
Algeria,2020-03-09,0,0,0,2020-06-17,lanl
Andorra,2020-03-09,0,0,0,2020-06-17,lanl
Argentina,2020-03-09,1,1,1,2020-06-17,lanl
Armenia,2020-03-09,0,0,0,2020-06-17,lanl
Australia,2020-03-09,3,3,3,2020-06-17,lanl
Austria,2020-03-09,0,0,0,2020-06-17,lanl
Azerbaijan,2020-03-09,0,0,0,2020-06-17,lanl
Bahrain,2020-03-09,0,0,0,2020-06-17,lanl
Bangladesh,2020-03-09,0,0,0,2020-06-17,lanl
Belarus,2020-03-09,0,0,0,2020-06-17,lanl
Belgium,2020-03-09,0,0,0,2020-06-17,lanl
Bolivia,2020-03-09,0,0,0,2020-06-17,lanl
Bosnia and Herzegovina,2020-03-09,0,0,0,2020-06-17,lanl
Brazil,2020-03-09,0,0,0,2020-06-17,lanl
Bulgaria,2020-03-09,0,0,0,2020-06-17,lanl
Burkina Faso,2020-03-09,0,0,0,2020-06-17,lanl
Cameroon,2020-03-09,0,0,0,2020-06-17,lanl
Canada,2020-03-09,1,1,1,2020-06-17,lanl
Chad,2020-03-09,0,0,0,2020-06-17,lanl
Chile,2020-03-09,0,0,0,2020-06-17,lanl
China,2020-03-09,3123,3123,3123,2020-06-17,lanl
Colombia,2020-03-09,0,0,0,2020-06-17,lanl
Republic of Congo,2020-03-09,0,0,0,2020-06-17,lanl
Cote d'Ivoire,2020-03-09,0,0,0,2020-06-17,lanl
Croatia,2020-03-09,0,0,0,2020-06-17,lanl
Cuba,2020-03-09,0,0,0,2020-06-17,lanl
Czechia,2020-03-09,0,0,0,2020-06-17,lanl
Democratic Republic of the Congo,2020-03-09,0,0,0,2020-06-17,lanl
Denmark,2020-03-09,0,0,0,2020-06-17,lanl
Djibouti,2020-03-09,0,0,0,2020-06-17,lanl
Dominican Republic,2020-03-09,0,0,0,2020-06-17,lanl
Ecuador,2020-03-09,0,0,0,2020-06-17,lanl
Egypt,2020-03-09,1,1,1,2020-06-17,lanl
El Salvador,2020-03-09,0,0,0,2020-06-17,lanl
Equatorial Guinea,2020-03-09,0,0,0,2020-06-17,lanl
