location_name,date,deaths,lower,upper,model_date,model
Albania,2020-03-09,0,0,0,2020-05-13,lanl
Andorra,2020-03-09,0,0,0,2020-05-13,lanl
Austria,2020-03-09,0,0,0,2020-05-13,lanl
Belarus,2020-03-09,0,0,0,2020-05-13,lanl
Belgium,2020-03-09,0,0,0,2020-05-13,lanl
Bosnia and Herzegovina,2020-03-09,0,0,0,2020-05-13,lanl
Bulgaria,2020-03-09,0,0,0,2020-05-13,lanl
Canada,2020-03-09,0,0,0,2020-05-13,lanl
Croatia,2020-03-09,0,0,0,2020-05-13,lanl
Czechia,2020-03-09,0,0,0,2020-05-13,lanl
Denmark,2020-03-09,0,0,0,2020-05-13,lanl
Estonia,2020-03-09,0,0,0,2020-05-13,lanl
Finland,2020-03-09,0,0,0,2020-05-13,lanl
France,2020-03-09,0,0,0,2020-05-13,lanl
Germany,2020-03-09,0,0,0,2020-05-13,lanl
Greece,2020-03-09,0,0,0,2020-05-13,lanl
Hungary,2020-03-09,0,0,0,2020-05-13,lanl
Ireland,2020-03-09,0,0,0,2020-05-13,lanl
Italy,2020-03-09,0,0,0,2020-05-13,lanl
Kosovo,2020-03-09,0,0,0,2020-05-13,lanl
Lithuania,2020-03-09,0,0,0,2020-05-13,lanl
Luxembourg,2020-03-09,0,0,0,2020-05-13,lanl
Moldova,2020-03-09,0,0,0,2020-05-13,lanl
Netherlands,2020-03-09,0,0,0,2020-05-13,lanl
North Macedonia,2020-03-09,0,0,0,2020-05-13,lanl
Norway,2020-03-09,0,0,0,2020-05-13,lanl
Poland,2020-03-09,0,0,0,2020-05-13,lanl
Portugal,2020-03-09,0,0,0,2020-05-13,lanl
Romania,2020-03-09,0,0,0,2020-05-13,lanl
Russia,2020-03-09,0,0,0,2020-05-13,lanl
San Marino,2020-03-09,0,0,0,2020-05-13,lanl
Serbia,2020-03-09,0,0,0,2020-05-13,lanl
Slovakia,2020-03-09,0,0,0,2020-05-13,lanl
Slovenia,2020-03-09,0,0,0,2020-05-13,lanl
Spain,2020-03-09,0,0,0,2020-05-13,lanl
Sweden,2020-03-09,0,0,0,2020-05-13,lanl
Switzerland,2020-03-09,0,0,0,2020-05-13,lanl
Ukraine,2020-03-09,0,0,0,2020-05-13,lanl
United Kingdom,2020-03-09,0,0,0,2020-05-13,lanl
US,2020-03-09,0,0,0,2020-05-13,lanl
Albania,2020-03-10,0,0,0,2020-05-13,lanl
Andorra,2020-03-10,0,0,0,2020-05-13,lanl
Austria,2020-03-10,0,0,0,2020-05-13,lanl
Belarus,2020-03-10,0,0,0,2020-05-13,lanl
Belgium,2020-03-10,0,0,0,2020-05-13,lanl
Bosnia and Herzegovina,2020-03-10,0,0,0,2020-05-13,lanl
Bulgaria,2020-03-10,0,0,0,2020-05-13,lanl
Canada,2020-03-10,1,1,1,2020-05-13,lanl
Croatia,2020-03-10,0,0,0,2020-05-13,lanl
Czechia,2020-03-10,0,0,0,2020-05-13,lanl
Denmark,2020-03-10,0,0,0,2020-05-13,lanl
Estonia,2020-03-10,0,0,0,2020-05-13,lanl
Finland,2020-03-10,0,0,0,2020-05-13,lanl
France,2020-03-10,33,33,33,2020-05-13,lanl
Germany,2020-03-10,2,2,2,2020-05-13,lanl
Greece,2020-03-10,0,0,0,2020-05-13,lanl
Hungary,2020-03-10,0,0,0,2020-05-13,lanl
Ireland,2020-03-10,0,0,0,2020-05-13,lanl
Italy,2020-03-10,631,631,631,2020-05-13,lanl
Kosovo,2020-03-10,0,0,0,2020-05-13,lanl
Lithuania,2020-03-10,0,0,0,2020-05-13,lanl
Luxembourg,2020-03-10,0,0,0,2020-05-13,lanl
Moldova,2020-03-10,0,0,0,2020-05-13,lanl
Netherlands,2020-03-10,4,4,4,2020-05-13,lanl
North Macedonia,2020-03-10,0,0,0,2020-05-13,lanl
Norway,2020-03-10,0,0,0,2020-05-13,lanl
Poland,2020-03-10,0,0,0,2020-05-13,lanl
Portugal,2020-03-10,0,0,0,2020-05-13,lanl
Romania,2020-03-10,0,0,0,2020-05-13,lanl
Russia,2020-03-10,0,0,0,2020-05-13,lanl
San Marino,2020-03-10,2,2,2,2020-05-13,lanl
Serbia,2020-03-10,0,0,0,2020-05-13,lanl
Slovakia,2020-03-10,0,0,0,2020-05-13,lanl
Slovenia,2020-03-10,0,0,0,2020-05-13,lanl
Spain,2020-03-10,35,35,35,2020-05-13,lanl
Sweden,2020-03-10,0,0,0,2020-05-13,lanl
Switzerland,2020-03-10,3,3,3,2020-05-13,lanl
Ukraine,2020-03-10,0,0,0,2020-05-13,lanl
United Kingdom,2020-03-10,7,7,7,2020-05-13,lanl
US,2020-03-10,28,28,28,2020-05-13,lanl
Albania,2020-03-11,1,1,1,2020-05-13,lanl
Andorra,2020-03-11,0,0,0,2020-05-13,lanl
Austria,2020-03-11,0,0,0,2020-05-13,lanl
Belarus,2020-03-11,0,0,0,2020-05-13,lanl
Belgium,2020-03-11,3,3,3,2020-05-13,lanl
Bosnia and Herzegovina,2020-03-11,0,0,0,2020-05-13,lanl
Bulgaria,2020-03-11,1,1,1,2020-05-13,lanl
Canada,2020-03-11,1,1,1,2020-05-13,lanl
Croatia,2020-03-11,0,0,0,2020-05-13,lanl
Czechia,2020-03-11,0,0,0,2020-05-13,lanl
Denmark,2020-03-11,0,0,0,2020-05-13,lanl
Estonia,2020-03-11,0,0,0,2020-05-13,lanl
Finland,2020-03-11,0,0,0,2020-05-13,lanl
France,2020-03-11,48,48,48,2020-05-13,lanl
Germany,2020-03-11,3,3,3,2020-05-13,lanl
Greece,2020-03-11,1,1,1,2020-05-13,lanl
Hungary,2020-03-11,0,0,0,2020-05-13,lanl
Ireland,2020-03-11,1,1,1,2020-05-13,lanl
Italy,2020-03-11,827,827,827,2020-05-13,lanl
Kosovo,2020-03-11,0,0,0,2020-05-13,lanl
Lithuania,2020-03-11,0,0,0,2020-05-13,lanl
Luxembourg,2020-03-11,0,0,0,2020-05-13,lanl
Moldova,2020-03-11,0,0,0,2020-05-13,lanl
Netherlands,2020-03-11,5,5,5,2020-05-13,lanl
North Macedonia,2020-03-11,0,0,0,2020-05-13,lanl
Norway,2020-03-11,0,0,0,2020-05-13,lanl
Poland,2020-03-11,0,0,0,2020-05-13,lanl
Portugal,2020-03-11,0,0,0,2020-05-13,lanl
Romania,2020-03-11,0,0,0,2020-05-13,lanl
Russia,2020-03-11,0,0,0,2020-05-13,lanl
San Marino,2020-03-11,2,2,2,2020-05-13,lanl
Serbia,2020-03-11,0,0,0,2020-05-13,lanl
Slovakia,2020-03-11,0,0,0,2020-05-13,lanl
Slovenia,2020-03-11,0,0,0,2020-05-13,lanl
Spain,2020-03-11,54,54,54,2020-05-13,lanl
Sweden,2020-03-11,1,1,1,2020-05-13,lanl
Switzerland,2020-03-11,4,4,4,2020-05-13,lanl
Ukraine,2020-03-11,0,0,0,2020-05-13,lanl
United Kingdom,2020-03-11,7,7,7,2020-05-13,lanl
US,2020-03-11,36,36,36,2020-05-13,lanl
Albania,2020-03-12,1,1,1,2020-05-13,lanl
Andorra,2020-03-12,0,0,0,2020-05-13,lanl
Austria,2020-03-12,1,1,1,2020-05-13,lanl
Belarus,2020-03-12,0,0,0,2020-05-13,lanl
Belgium,2020-03-12,3,3,3,2020-05-13,lanl
Bosnia and Herzegovina,2020-03-12,0,0,0,2020-05-13,lanl
Bulgaria,2020-03-12,1,1,1,2020-05-13,lanl
Canada,2020-03-12,1,1,1,2020-05-13,lanl
Croatia,2020-03-12,0,0,0,2020-05-13,lanl
Czechia,2020-03-12,0,0,0,2020-05-13,lanl
Denmark,2020-03-12,0,0,0,2020-05-13,lanl
Estonia,2020-03-12,0,0,0,2020-05-13,lanl
Finland,2020-03-12,0,0,0,2020-05-13,lanl
France,2020-03-12,48,48,48,2020-05-13,lanl
Germany,2020-03-12,3,3,3,2020-05-13,lanl
Greece,2020-03-12,1,1,1,2020-05-13,lanl
Hungary,2020-03-12,0,0,0,2020-05-13,lanl
