location_name,date,deaths,lower,upper,model_date,model
Afghanistan,2020-03-09,0,0,0,2020-06-03,lanl
Albania,2020-03-09,0,0,0,2020-06-03,lanl
Algeria,2020-03-09,0,0,0,2020-06-03,lanl
Andorra,2020-03-09,0,0,0,2020-06-03,lanl
Argentina,2020-03-09,1,1,1,2020-06-03,lanl
Armenia,2020-03-09,0,0,0,2020-06-03,lanl
Australia,2020-03-09,3,3,3,2020-06-03,lanl
Austria,2020-03-09,0,0,0,2020-06-03,lanl
Azerbaijan,2020-03-09,0,0,0,2020-06-03,lanl
Bahrain,2020-03-09,0,0,0,2020-06-03,lanl
Bangladesh,2020-03-09,0,0,0,2020-06-03,lanl
Belarus,2020-03-09,0,0,0,2020-06-03,lanl
Belgium,2020-03-09,0,0,0,2020-06-03,lanl
Bolivia,2020-03-09,0,0,0,2020-06-03,lanl
Bosnia and Herzegovina,2020-03-09,0,0,0,2020-06-03,lanl
Brazil,2020-03-09,0,0,0,2020-06-03,lanl
Bulgaria,2020-03-09,0,0,0,2020-06-03,lanl
Burkina Faso,2020-03-09,0,0,0,2020-06-03,lanl
Cameroon,2020-03-09,0,0,0,2020-06-03,lanl
Canada,2020-03-09,1,1,1,2020-06-03,lanl
Chad,2020-03-09,0,0,0,2020-06-03,lanl
Chile,2020-03-09,0,0,0,2020-06-03,lanl
China,2020-03-09,3123,3123,3123,2020-06-03,lanl
Colombia,2020-03-09,0,0,0,2020-06-03,lanl
Republic of Congo,2020-03-09,0,0,0,2020-06-03,lanl
Cote d'Ivoire,2020-03-09,0,0,0,2020-06-03,lanl
Croatia,2020-03-09,0,0,0,2020-06-03,lanl
Cuba,2020-03-09,0,0,0,2020-06-03,lanl
Czechia,2020-03-09,0,0,0,2020-06-03,lanl
Democratic Republic of the Congo,2020-03-09,0,0,0,2020-06-03,lanl
Denmark,2020-03-09,0,0,0,2020-06-03,lanl
Djibouti,2020-03-09,0,0,0,2020-06-03,lanl
Dominican Republic,2020-03-09,0,0,0,2020-06-03,lanl
Ecuador,2020-03-09,0,0,0,2020-06-03,lanl
