location_name,date,deaths,lower,upper,model_date,model
Nigeria,2020-03-09,0,0,0,2020-08-09,lanl
North Macedonia,2020-03-09,0,0,0,2020-08-09,lanl
Norway,2020-03-09,0,0,0,2020-08-09,lanl
Oman,2020-03-09,0,0,0,2020-08-09,lanl
Pakistan,2020-03-09,0,0,0,2020-08-09,lanl
Panama,2020-03-09,0,0,0,2020-08-09,lanl
Paraguay,2020-03-09,0,0,0,2020-08-09,lanl
Peru,2020-03-09,0,0,0,2020-08-09,lanl
Philippines,2020-03-09,1,1,1,2020-08-09,lanl
Poland,2020-03-09,0,0,0,2020-08-09,lanl
Portugal,2020-03-09,0,0,0,2020-08-09,lanl
Qatar,2020-03-09,0,0,0,2020-08-09,lanl
Romania,2020-03-09,0,0,0,2020-08-09,lanl
Russia,2020-03-09,0,0,0,2020-08-09,lanl
San Marino,2020-03-09,1,1,1,2020-08-09,lanl
Saudi Arabia,2020-03-09,0,0,0,2020-08-09,lanl
Senegal,2020-03-09,0,0,0,2020-08-09,lanl
Serbia,2020-03-09,0,0,0,2020-08-09,lanl
Sierra Leone,2020-03-09,0,0,0,2020-08-09,lanl
Singapore,2020-03-09,0,0,0,2020-08-09,lanl
Slovakia,2020-03-09,0,0,0,2020-08-09,lanl
Slovenia,2020-03-09,0,0,0,2020-08-09,lanl
Somalia,2020-03-09,0,0,0,2020-08-09,lanl
South Africa,2020-03-09,0,0,0,2020-08-09,lanl
South Korea,2020-03-09,53,53,53,2020-08-09,lanl
South Sudan,2020-03-09,0,0,0,2020-08-09,lanl
Spain,2020-03-09,28,28,28,2020-08-09,lanl
Sudan,2020-03-09,0,0,0,2020-08-09,lanl
Suriname,2020-03-09,0,0,0,2020-08-09,lanl
Sweden,2020-03-09,0,0,0,2020-08-09,lanl
Switzerland,2020-03-09,2,2,2,2020-08-09,lanl
Syria,2020-03-09,0,0,0,2020-08-09,lanl
Tajikistan,2020-03-09,0,0,0,2020-08-09,lanl
Tanzania,2020-03-09,0,0,0,2020-08-09,lanl
Thailand,2020-03-09,1,1,1,2020-08-09,lanl
Togo,2020-03-09,0,0,0,2020-08-09,lanl
Tunisia,2020-03-09,0,0,0,2020-08-09,lanl
Turkey,2020-03-09,0,0,0,2020-08-09,lanl
Ukraine,2020-03-09,0,0,0,2020-08-09,lanl
United Arab Emirates,2020-03-09,0,0,0,2020-08-09,lanl
United Kingdom,2020-03-09,3,3,3,2020-08-09,lanl
Uruguay,2020-03-09,0,0,0,2020-08-09,lanl
