location_name,date,deaths,lower,upper,model_date,model
Albania,2020-03-09,0,0,0,2020-05-17,lanl
Andorra,2020-03-09,0,0,0,2020-05-17,lanl
Austria,2020-03-09,0,0,0,2020-05-17,lanl
Belarus,2020-03-09,0,0,0,2020-05-17,lanl
Belgium,2020-03-09,0,0,0,2020-05-17,lanl
Bosnia and Herzegovina,2020-03-09,0,0,0,2020-05-17,lanl
Bulgaria,2020-03-09,0,0,0,2020-05-17,lanl
Canada,2020-03-09,0,0,0,2020-05-17,lanl
Croatia,2020-03-09,0,0,0,2020-05-17,lanl
Czechia,2020-03-09,0,0,0,2020-05-17,lanl
Denmark,2020-03-09,0,0,0,2020-05-17,lanl
Estonia,2020-03-09,0,0,0,2020-05-17,lanl
Finland,2020-03-09,0,0,0,2020-05-17,lanl
France,2020-03-09,0,0,0,2020-05-17,lanl
Germany,2020-03-09,0,0,0,2020-05-17,lanl
Greece,2020-03-09,0,0,0,2020-05-17,lanl
Hungary,2020-03-09,0,0,0,2020-05-17,lanl
Ireland,2020-03-09,0,0,0,2020-05-17,lanl
Italy,2020-03-09,0,0,0,2020-05-17,lanl
Kosovo,2020-03-09,0,0,0,2020-05-17,lanl
Lithuania,2020-03-09,0,0,0,2020-05-17,lanl
Luxembourg,2020-03-09,0,0,0,2020-05-17,lanl
Moldova,2020-03-09,0,0,0,2020-05-17,lanl
Netherlands,2020-03-09,0,0,0,2020-05-17,lanl
North Macedonia,2020-03-09,0,0,0,2020-05-17,lanl
Norway,2020-03-09,0,0,0,2020-05-17,lanl
Poland,2020-03-09,0,0,0,2020-05-17,lanl
Portugal,2020-03-09,0,0,0,2020-05-17,lanl
Romania,2020-03-09,0,0,0,2020-05-17,lanl
Russia,2020-03-09,0,0,0,2020-05-17,lanl
San Marino,2020-03-09,0,0,0,2020-05-17,lanl
Serbia,2020-03-09,0,0,0,2020-05-17,lanl
Slovakia,2020-03-09,0,0,0,2020-05-17,lanl
Slovenia,2020-03-09,0,0,0,2020-05-17,lanl
Spain,2020-03-09,0,0,0,2020-05-17,lanl
Sweden,2020-03-09,0,0,0,2020-05-17,lanl
Switzerland,2020-03-09,0,0,0,2020-05-17,lanl
Ukraine,2020-03-09,0,0,0,2020-05-17,lanl
United Kingdom,2020-03-09,0,0,0,2020-05-17,lanl
US,2020-03-09,0,0,0,2020-05-17,lanl
Albania,2020-03-10,0,0,0,2020-05-17,lanl
Andorra,2020-03-10,0,0,0,2020-05-17,lanl
Austria,2020-03-10,0,0,0,2020-05-17,lanl
Belarus,2020-03-10,0,0,0,2020-05-17,lanl
Belgium,2020-03-10,0,0,0,2020-05-17,lanl
Bosnia and Herzegovina,2020-03-10,0,0,0,2020-05-17,lanl
Bulgaria,2020-03-10,0,0,0,2020-05-17,lanl
Canada,2020-03-10,1,1,1,2020-05-17,lanl
Croatia,2020-03-10,0,0,0,2020-05-17,lanl
Czechia,2020-03-10,0,0,0,2020-05-17,lanl
Denmark,2020-03-10,0,0,0,2020-05-17,lanl
Estonia,2020-03-10,0,0,0,2020-05-17,lanl
Finland,2020-03-10,0,0,0,2020-05-17,lanl
France,2020-03-10,33,33,33,2020-05-17,lanl
Germany,2020-03-10,2,2,2,2020-05-17,lanl
Greece,2020-03-10,0,0,0,2020-05-17,lanl
Hungary,2020-03-10,0,0,0,2020-05-17,lanl
Ireland,2020-03-10,0,0,0,2020-05-17,lanl
Italy,2020-03-10,631,631,631,2020-05-17,lanl
Kosovo,2020-03-10,0,0,0,2020-05-17,lanl
Lithuania,2020-03-10,0,0,0,2020-05-17,lanl
Luxembourg,2020-03-10,0,0,0,2020-05-17,lanl
Moldova,2020-03-10,0,0,0,2020-05-17,lanl
Netherlands,2020-03-10,4,4,4,2020-05-17,lanl
North Macedonia,2020-03-10,0,0,0,2020-05-17,lanl
Norway,2020-03-10,0,0,0,2020-05-17,lanl
Poland,2020-03-10,0,0,0,2020-05-17,lanl
Portugal,2020-03-10,0,0,0,2020-05-17,lanl
Romania,2020-03-10,0,0,0,2020-05-17,lanl
Russia,2020-03-10,0,0,0,2020-05-17,lanl
