location_name,date,deaths,lower,upper,model_date,model
Afghanistan,2020-03-09,0,0,0,2020-06-10,lanl
Albania,2020-03-09,0,0,0,2020-06-10,lanl
Algeria,2020-03-09,0,0,0,2020-06-10,lanl
Andorra,2020-03-09,0,0,0,2020-06-10,lanl
Argentina,2020-03-09,1,1,1,2020-06-10,lanl
Armenia,2020-03-09,0,0,0,2020-06-10,lanl
Australia,2020-03-09,3,3,3,2020-06-10,lanl
Austria,2020-03-09,0,0,0,2020-06-10,lanl
Azerbaijan,2020-03-09,0,0,0,2020-06-10,lanl
Bahrain,2020-03-09,0,0,0,2020-06-10,lanl
Bangladesh,2020-03-09,0,0,0,2020-06-10,lanl
Belarus,2020-03-09,0,0,0,2020-06-10,lanl
Belgium,2020-03-09,0,0,0,2020-06-10,lanl
Bolivia,2020-03-09,0,0,0,2020-06-10,lanl
Bosnia and Herzegovina,2020-03-09,0,0,0,2020-06-10,lanl
Brazil,2020-03-09,0,0,0,2020-06-10,lanl
Bulgaria,2020-03-09,0,0,0,2020-06-10,lanl
Burkina Faso,2020-03-09,0,0,0,2020-06-10,lanl
Cameroon,2020-03-09,0,0,0,2020-06-10,lanl
Canada,2020-03-09,1,1,1,2020-06-10,lanl
Chad,2020-03-09,0,0,0,2020-06-10,lanl
Chile,2020-03-09,0,0,0,2020-06-10,lanl
China,2020-03-09,3123,3123,3123,2020-06-10,lanl
Colombia,2020-03-09,0,0,0,2020-06-10,lanl
Republic of Congo,2020-03-09,0,0,0,2020-06-10,lanl
Cote d'Ivoire,2020-03-09,0,0,0,2020-06-10,lanl
Croatia,2020-03-09,0,0,0,2020-06-10,lanl
Cuba,2020-03-09,0,0,0,2020-06-10,lanl
Czechia,2020-03-09,0,0,0,2020-06-10,lanl
Democratic Republic of the Congo,2020-03-09,0,0,0,2020-06-10,lanl
Denmark,2020-03-09,0,0,0,2020-06-10,lanl
Djibouti,2020-03-09,0,0,0,2020-06-10,lanl
Dominican Republic,2020-03-09,0,0,0,2020-06-10,lanl
Ecuador,2020-03-09,0,0,0,2020-06-10,lanl
Egypt,2020-03-09,1,1,1,2020-06-10,lanl
El Salvador,2020-03-09,0,0,0,2020-06-10,lanl
Estonia,2020-03-09,0,0,0,2020-06-10,lanl
Ethiopia,2020-03-09,0,0,0,2020-06-10,lanl
Finland,2020-03-09,0,0,0,2020-06-10,lanl
France,2020-03-09,19,19,19,2020-06-10,lanl
Gabon,2020-03-09,0,0,0,2020-06-10,lanl
Germany,2020-03-09,2,2,2,2020-06-10,lanl
Ghana,2020-03-09,0,0,0,2020-06-10,lanl
Greece,2020-03-09,0,0,0,2020-06-10,lanl
Guatemala,2020-03-09,0,0,0,2020-06-10,lanl
Guinea,2020-03-09,0,0,0,2020-06-10,lanl
Haiti,2020-03-09,0,0,0,2020-06-10,lanl
Honduras,2020-03-09,0,0,0,2020-06-10,lanl
Hungary,2020-03-09,0,0,0,2020-06-10,lanl
India,2020-03-09,0,0,0,2020-06-10,lanl
Indonesia,2020-03-09,0,0,0,2020-06-10,lanl
Iran,2020-03-09,237,237,237,2020-06-10,lanl
Iraq,2020-03-09,6,6,6,2020-06-10,lanl
Ireland,2020-03-09,0,0,0,2020-06-10,lanl
Israel,2020-03-09,0,0,0,2020-06-10,lanl
Italy,2020-03-09,463,463,463,2020-06-10,lanl
Japan,2020-03-09,10,10,10,2020-06-10,lanl
Kazakhstan,2020-03-09,0,0,0,2020-06-10,lanl
Kenya,2020-03-09,0,0,0,2020-06-10,lanl
Kosovo,2020-03-09,0,0,0,2020-06-10,lanl
Kuwait,2020-03-09,0,0,0,2020-06-10,lanl
Kyrgyzstan,2020-03-09,0,0,0,2020-06-10,lanl
Latvia,2020-03-09,0,0,0,2020-06-10,lanl
Lebanon,2020-03-09,0,0,0,2020-06-10,lanl
Liberia,2020-03-09,0,0,0,2020-06-10,lanl
Lithuania,2020-03-09,0,0,0,2020-06-10,lanl
Luxembourg,2020-03-09,0,0,0,2020-06-10,lanl
Malaysia,2020-03-09,0,0,0,2020-06-10,lanl
Mali,2020-03-09,0,0,0,2020-06-10,lanl
Mauritania,2020-03-09,0,0,0,2020-06-10,lanl
Mexico,2020-03-09,0,0,0,2020-06-10,lanl
Moldova,2020-03-09,0,0,0,2020-06-10,lanl
Morocco,2020-03-09,0,0,0,2020-06-10,lanl
Netherlands,2020-03-09,3,3,3,2020-06-10,lanl
New Zealand,2020-03-09,0,0,0,2020-06-10,lanl
Nicaragua,2020-03-09,0,0,0,2020-06-10,lanl
Niger,2020-03-09,0,0,0,2020-06-10,lanl
Nigeria,2020-03-09,0,0,0,2020-06-10,lanl
North Macedonia,2020-03-09,0,0,0,2020-06-10,lanl
Norway,2020-03-09,0,0,0,2020-06-10,lanl
Oman,2020-03-09,0,0,0,2020-06-10,lanl
Pakistan,2020-03-09,0,0,0,2020-06-10,lanl
Panama,2020-03-09,0,0,0,2020-06-10,lanl
Peru,2020-03-09,0,0,0,2020-06-10,lanl
Philippines,2020-03-09,1,1,1,2020-06-10,lanl
Poland,2020-03-09,0,0,0,2020-06-10,lanl
Portugal,2020-03-09,0,0,0,2020-06-10,lanl
Qatar,2020-03-09,0,0,0,2020-06-10,lanl
Romania,2020-03-09,0,0,0,2020-06-10,lanl
Russia,2020-03-09,0,0,0,2020-06-10,lanl
San Marino,2020-03-09,1,1,1,2020-06-10,lanl
Saudi Arabia,2020-03-09,0,0,0,2020-06-10,lanl
Senegal,2020-03-09,0,0,0,2020-06-10,lanl
Serbia,2020-03-09,0,0,0,2020-06-10,lanl
Sierra Leone,2020-03-09,0,0,0,2020-06-10,lanl
Singapore,2020-03-09,0,0,0,2020-06-10,lanl
Slovakia,2020-03-09,0,0,0,2020-06-10,lanl
Slovenia,2020-03-09,0,0,0,2020-06-10,lanl
Somalia,2020-03-09,0,0,0,2020-06-10,lanl
South Africa,2020-03-09,0,0,0,2020-06-10,lanl
South Korea,2020-03-09,53,53,53,2020-06-10,lanl
Spain,2020-03-09,28,28,28,2020-06-10,lanl
Sudan,2020-03-09,0,0,0,2020-06-10,lanl
Sweden,2020-03-09,0,0,0,2020-06-10,lanl
Switzerland,2020-03-09,2,2,2,2020-06-10,lanl
Tajikistan,2020-03-09,0,0,0,2020-06-10,lanl
Tanzania,2020-03-09,0,0,0,2020-06-10,lanl
Thailand,2020-03-09,1,1,1,2020-06-10,lanl
Tunisia,2020-03-09,0,0,0,2020-06-10,lanl
Turkey,2020-03-09,0,0,0,2020-06-10,lanl
Ukraine,2020-03-09,0,0,0,2020-06-10,lanl
United Arab Emirates,2020-03-09,0,0,0,2020-06-10,lanl
United Kingdom,2020-03-09,3,3,3,2020-06-10,lanl
Uruguay,2020-03-09,0,0,0,2020-06-10,lanl
US,2020-03-09,22,22,22,2020-06-10,lanl
Venezuela,2020-03-09,0,0,0,2020-06-10,lanl
Yemen,2020-03-09,0,0,0,2020-06-10,lanl
Afghanistan,2020-03-10,0,0,0,2020-06-10,lanl
Albania,2020-03-10,0,0,0,2020-06-10,lanl
Algeria,2020-03-10,0,0,0,2020-06-10,lanl
Andorra,2020-03-10,0,0,0,2020-06-10,lanl
Argentina,2020-03-10,1,1,1,2020-06-10,lanl
Armenia,2020-03-10,0,0,0,2020-06-10,lanl
Australia,2020-03-10,3,3,3,2020-06-10,lanl
Austria,2020-03-10,0,0,0,2020-06-10,lanl
Azerbaijan,2020-03-10,0,0,0,2020-06-10,lanl
Bahrain,2020-03-10,0,0,0,2020-06-10,lanl
Bangladesh,2020-03-10,0,0,0,2020-06-10,lanl
Belarus,2020-03-10,0,0,0,2020-06-10,lanl
Belgium,2020-03-10,0,0,0,2020-06-10,lanl
Bolivia,2020-03-10,0,0,0,2020-06-10,lanl
Bosnia and Herzegovina,2020-03-10,0,0,0,2020-06-10,lanl
Brazil,2020-03-10,0,0,0,2020-06-10,lanl
Bulgaria,2020-03-10,0,0,0,2020-06-10,lanl
Burkina Faso,2020-03-10,0,0,0,2020-06-10,lanl
Cameroon,2020-03-10,0,0,0,2020-06-10,lanl
Canada,2020-03-10,1,1,1,2020-06-10,lanl
Chad,2020-03-10,0,0,0,2020-06-10,lanl
Chile,2020-03-10,0,0,0,2020-06-10,lanl
China,2020-03-10,3139,3139,3139,2020-06-10,lanl
Colombia,2020-03-10,0,0,0,2020-06-10,lanl
Republic of Congo,2020-03-10,0,0,0,2020-06-10,lanl
Cote d'Ivoire,2020-03-10,0,0,0,2020-06-10,lanl
Croatia,2020-03-10,0,0,0,2020-06-10,lanl
Cuba,2020-03-10,0,0,0,2020-06-10,lanl
Czechia,2020-03-10,0,0,0,2020-06-10,lanl
Democratic Republic of the Congo,2020-03-10,0,0,0,2020-06-10,lanl
Denmark,2020-03-10,0,0,0,2020-06-10,lanl
Djibouti,2020-03-10,0,0,0,2020-06-10,lanl
Dominican Republic,2020-03-10,0,0,0,2020-06-10,lanl
Ecuador,2020-03-10,0,0,0,2020-06-10,lanl
Egypt,2020-03-10,1,1,1,2020-06-10,lanl
El Salvador,2020-03-10,0,0,0,2020-06-10,lanl
Estonia,2020-03-10,0,0,0,2020-06-10,lanl
Ethiopia,2020-03-10,0,0,0,2020-06-10,lanl
Finland,2020-03-10,0,0,0,2020-06-10,lanl
France,2020-03-10,33,33,33,2020-06-10,lanl
Gabon,2020-03-10,0,0,0,2020-06-10,lanl
Germany,2020-03-10,2,2,2,2020-06-10,lanl
Ghana,2020-03-10,0,0,0,2020-06-10,lanl
Greece,2020-03-10,0,0,0,2020-06-10,lanl
Guatemala,2020-03-10,0,0,0,2020-06-10,lanl
Guinea,2020-03-10,0,0,0,2020-06-10,lanl
Haiti,2020-03-10,0,0,0,2020-06-10,lanl
Honduras,2020-03-10,0,0,0,2020-06-10,lanl
Hungary,2020-03-10,0,0,0,2020-06-10,lanl
India,2020-03-10,0,0,0,2020-06-10,lanl
Indonesia,2020-03-10,0,0,0,2020-06-10,lanl
Iran,2020-03-10,291,291,291,2020-06-10,lanl
Iraq,2020-03-10,7,7,7,2020-06-10,lanl
Ireland,2020-03-10,0,0,0,2020-06-10,lanl
Israel,2020-03-10,0,0,0,2020-06-10,lanl
Italy,2020-03-10,631,631,631,2020-06-10,lanl
Japan,2020-03-10,10,10,10,2020-06-10,lanl
Kazakhstan,2020-03-10,0,0,0,2020-06-10,lanl
Kenya,2020-03-10,0,0,0,2020-06-10,lanl
Kosovo,2020-03-10,0,0,0,2020-06-10,lanl
