location_name,date,deaths,model_date,model
Afghanistan,2020-08-27,1401,2020-08-28,sikjalpha
Albania,2020-08-27,266,2020-08-28,sikjalpha
Algeria,2020-08-27,1475,2020-08-28,sikjalpha
Andorra,2020-08-27,53,2020-08-28,sikjalpha
Angola,2020-08-27,105,2020-08-28,sikjalpha
Antigua and Barbuda,2020-08-27,3,2020-08-28,sikjalpha
Argentina,2020-08-27,8050,2020-08-28,sikjalpha
Armenia,2020-08-27,864,2020-08-28,sikjalpha
Australia,2020-08-27,583,2020-08-28,sikjalpha
Austria,2020-08-27,733,2020-08-28,sikjalpha
Azerbaijan,2020-08-27,524,2020-08-28,sikjalpha
The Bahamas,2020-08-27,29,2020-08-28,sikjalpha
Bahrain,2020-08-27,188,2020-08-28,sikjalpha
Bangladesh,2020-08-27,4127,2020-08-28,sikjalpha
Barbados,2020-08-27,7,2020-08-28,sikjalpha
Belarus,2020-08-27,662,2020-08-28,sikjalpha
Belgium,2020-08-27,9884,2020-08-28,sikjalpha
Benin,2020-08-27,40,2020-08-28,sikjalpha
Bhutan,2020-08-27,0,2020-08-28,sikjalpha
Bolivia,2020-08-27,4791,2020-08-28,sikjalpha
Bosnia and Herzegovina,2020-08-27,582,2020-08-28,sikjalpha
Brazil,2020-08-27,118649,2020-08-28,sikjalpha
Brunei,2020-08-27,3,2020-08-28,sikjalpha
Bulgaria,2020-08-27,594,2020-08-28,sikjalpha
Burkina Faso,2020-08-27,55,2020-08-28,sikjalpha
Cape Verde,2020-08-27,38,2020-08-28,sikjalpha
Cambodia,2020-08-27,0,2020-08-28,sikjalpha
Cameroon,2020-08-27,411,2020-08-28,sikjalpha
Canada,2020-08-27,9148,2020-08-28,sikjalpha
Central African Republic,2020-08-27,61,2020-08-28,sikjalpha
Chad,2020-08-27,77,2020-08-28,sikjalpha
Chile,2020-08-27,11072,2020-08-28,sikjalpha
China,2020-08-27,4715,2020-08-28,sikjalpha
Colombia,2020-08-27,18467,2020-08-28,sikjalpha
Congo,2020-08-27,78,2020-08-28,sikjalpha
Democratic Republic of the Congo,2020-08-27,255,2020-08-28,sikjalpha
Costa Rica,2020-08-27,397,2020-08-28,sikjalpha
Cote d'Ivoire,2020-08-27,115,2020-08-28,sikjalpha
Croatia,2020-08-27,177,2020-08-28,sikjalpha
Diamond Princess,2020-08-27,13,2020-08-28,sikjalpha
