location_name,date,deaths,model_date,model
Afghanistan,2020-05-22,205,2020-05-23,sikjalpha
Albania,2020-05-22,31,2020-05-23,sikjalpha
Algeria,2020-05-22,582,2020-05-23,sikjalpha
Andorra,2020-05-22,51,2020-05-23,sikjalpha
Angola,2020-05-22,3,2020-05-23,sikjalpha
Antigua and Barbuda,2020-05-22,3,2020-05-23,sikjalpha
Argentina,2020-05-22,433,2020-05-23,sikjalpha
Armenia,2020-05-22,74,2020-05-23,sikjalpha
Australia,2020-05-22,101,2020-05-23,sikjalpha
Austria,2020-05-22,635,2020-05-23,sikjalpha
Azerbaijan,2020-05-22,46,2020-05-23,sikjalpha
The Bahamas,2020-05-22,11,2020-05-23,sikjalpha
Bahrain,2020-05-22,12,2020-05-23,sikjalpha
Bangladesh,2020-05-22,432,2020-05-23,sikjalpha
Barbados,2020-05-22,7,2020-05-23,sikjalpha
Belarus,2020-05-22,190,2020-05-23,sikjalpha
Belgium,2020-05-22,9212,2020-05-23,sikjalpha
Benin,2020-05-22,3,2020-05-23,sikjalpha
Bhutan,2020-05-22,0,2020-05-23,sikjalpha
Bolivia,2020-05-22,230,2020-05-23,sikjalpha
Bosnia and Herzegovina,2020-05-22,141,2020-05-23,sikjalpha
Brazil,2020-05-22,21048,2020-05-23,sikjalpha
Brunei,2020-05-22,1,2020-05-23,sikjalpha
Bulgaria,2020-05-22,125,2020-05-23,sikjalpha
Burkina Faso,2020-05-22,52,2020-05-23,sikjalpha
Cape Verde,2020-05-22,3,2020-05-23,sikjalpha
Cambodia,2020-05-22,0,2020-05-23,sikjalpha
Cameroon,2020-05-22,159,2020-05-23,sikjalpha
Canada,2020-05-22,6360,2020-05-23,sikjalpha
Central African Republic,2020-05-22,0,2020-05-23,sikjalpha
Chad,2020-05-22,58,2020-05-23,sikjalpha
Chile,2020-05-22,630,2020-05-23,sikjalpha
China,2020-05-22,4638,2020-05-23,sikjalpha
Colombia,2020-05-22,682,2020-05-23,sikjalpha
Congo,2020-05-22,16,2020-05-23,sikjalpha
Democratic Republic of the Congo,2020-05-22,63,2020-05-23,sikjalpha
Costa Rica,2020-05-22,10,2020-05-23,sikjalpha
Cote d'Ivoire,2020-05-22,29,2020-05-23,sikjalpha
Croatia,2020-05-22,99,2020-05-23,sikjalpha
Diamond Princess,2020-05-22,13,2020-05-23,sikjalpha
Cuba,2020-05-22,81,2020-05-23,sikjalpha
Cyprus,2020-05-22,17,2020-05-23,sikjalpha
Czech Republic,2020-05-22,312,2020-05-23,sikjalpha
Denmark,2020-05-22,561,2020-05-23,sikjalpha
Djibouti,2020-05-22,10,2020-05-23,sikjalpha
Dominican Republic,2020-05-22,456,2020-05-23,sikjalpha
Ecuador,2020-05-22,3056,2020-05-23,sikjalpha
Egypt,2020-05-22,707,2020-05-23,sikjalpha
El Salvador,2020-05-22,33,2020-05-23,sikjalpha
Equatorial Guinea,2020-05-22,11,2020-05-23,sikjalpha
Eritrea,2020-05-22,0,2020-05-23,sikjalpha
Estonia,2020-05-22,64,2020-05-23,sikjalpha
Eswatini,2020-05-22,2,2020-05-23,sikjalpha
Ethiopia,2020-05-22,5,2020-05-23,sikjalpha
Fiji,2020-05-22,0,2020-05-23,sikjalpha
Finland,2020-05-22,306,2020-05-23,sikjalpha
France,2020-05-22,28292,2020-05-23,sikjalpha
Gabon,2020-05-22,12,2020-05-23,sikjalpha
The Gambia,2020-05-22,1,2020-05-23,sikjalpha
Georgia (Country),2020-05-22,12,2020-05-23,sikjalpha
Germany,2020-05-22,8228,2020-05-23,sikjalpha
Ghana,2020-05-22,31,2020-05-23,sikjalpha
Greece,2020-05-22,169,2020-05-23,sikjalpha
Guatemala,2020-05-22,51,2020-05-23,sikjalpha
Guinea,2020-05-22,19,2020-05-23,sikjalpha
Guyana,2020-05-22,10,2020-05-23,sikjalpha
Haiti,2020-05-22,25,2020-05-23,sikjalpha
Holy See,2020-05-22,0,2020-05-23,sikjalpha
Honduras,2020-05-22,167,2020-05-23,sikjalpha
Hungary,2020-05-22,476,2020-05-23,sikjalpha
Iceland,2020-05-22,10,2020-05-23,sikjalpha
India,2020-05-22,3726,2020-05-23,sikjalpha
Indonesia,2020-05-22,1326,2020-05-23,sikjalpha
Iran,2020-05-22,7300,2020-05-23,sikjalpha
Iraq,2020-05-22,147,2020-05-23,sikjalpha
Ireland,2020-05-22,1592,2020-05-23,sikjalpha
Israel,2020-05-22,279,2020-05-23,sikjalpha
Italy,2020-05-22,32616,2020-05-23,sikjalpha
Jamaica,2020-05-22,9,2020-05-23,sikjalpha
Japan,2020-05-22,836,2020-05-23,sikjalpha
Jordan,2020-05-22,9,2020-05-23,sikjalpha
Kazakhstan,2020-05-22,35,2020-05-23,sikjalpha
Kenya,2020-05-22,50,2020-05-23,sikjalpha
South Korea,2020-05-22,266,2020-05-23,sikjalpha
Kuwait,2020-05-22,138,2020-05-23,sikjalpha
Kyrgyzstan,2020-05-22,14,2020-05-23,sikjalpha
Latvia,2020-05-22,22,2020-05-23,sikjalpha
