location_name,date,deaths,model_date,model
Afghanistan,2020-06-12,446,2020-06-13,sikjalpha
Albania,2020-06-12,36,2020-06-13,sikjalpha
Algeria,2020-06-12,751,2020-06-13,sikjalpha
Andorra,2020-06-12,51,2020-06-13,sikjalpha
Angola,2020-06-12,5,2020-06-13,sikjalpha
Antigua and Barbuda,2020-06-12,3,2020-06-13,sikjalpha
Argentina,2020-06-12,785,2020-06-13,sikjalpha
Armenia,2020-06-12,258,2020-06-13,sikjalpha
Australia,2020-06-12,102,2020-06-13,sikjalpha
Austria,2020-06-12,675,2020-06-13,sikjalpha
Azerbaijan,2020-06-12,113,2020-06-13,sikjalpha
The Bahamas,2020-06-12,11,2020-06-13,sikjalpha
Bahrain,2020-06-12,36,2020-06-13,sikjalpha
Bangladesh,2020-06-12,1095,2020-06-13,sikjalpha
Barbados,2020-06-12,7,2020-06-13,sikjalpha
Belarus,2020-06-12,298,2020-06-13,sikjalpha
Belgium,2020-06-12,9646,2020-06-13,sikjalpha
Benin,2020-06-12,5,2020-06-13,sikjalpha
Bhutan,2020-06-12,0,2020-06-13,sikjalpha
Bolivia,2020-06-12,559,2020-06-13,sikjalpha
Bosnia and Herzegovina,2020-06-12,163,2020-06-13,sikjalpha
Brazil,2020-06-12,41828,2020-06-13,sikjalpha
Brunei,2020-06-12,2,2020-06-13,sikjalpha
Bulgaria,2020-06-12,172,2020-06-13,sikjalpha
Burkina Faso,2020-06-12,53,2020-06-13,sikjalpha
Cape Verde,2020-06-12,6,2020-06-13,sikjalpha
Cambodia,2020-06-12,0,2020-06-13,sikjalpha
Cameroon,2020-06-12,212,2020-06-13,sikjalpha
Canada,2020-06-12,8125,2020-06-13,sikjalpha
Central African Republic,2020-06-12,7,2020-06-13,sikjalpha
Chad,2020-06-12,72,2020-06-13,sikjalpha
Chile,2020-06-12,2870,2020-06-13,sikjalpha
China,2020-06-12,4638,2020-06-13,sikjalpha
Colombia,2020-06-12,1545,2020-06-13,sikjalpha
Congo,2020-06-12,24,2020-06-13,sikjalpha
Democratic Republic of the Congo,2020-06-12,101,2020-06-13,sikjalpha
Costa Rica,2020-06-12,12,2020-06-13,sikjalpha
Cote d'Ivoire,2020-06-12,45,2020-06-13,sikjalpha
Croatia,2020-06-12,107,2020-06-13,sikjalpha
Diamond Princess,2020-06-12,13,2020-06-13,sikjalpha
Cuba,2020-06-12,84,2020-06-13,sikjalpha
Cyprus,2020-06-12,18,2020-06-13,sikjalpha
Czech Republic,2020-06-12,329,2020-06-13,sikjalpha
Denmark,2020-06-12,594,2020-06-13,sikjalpha
Djibouti,2020-06-12,38,2020-06-13,sikjalpha
Dominican Republic,2020-06-12,568,2020-06-13,sikjalpha
Ecuador,2020-06-12,3828,2020-06-13,sikjalpha
Egypt,2020-06-12,1422,2020-06-13,sikjalpha
El Salvador,2020-06-12,68,2020-06-13,sikjalpha
Equatorial Guinea,2020-06-12,12,2020-06-13,sikjalpha
Eritrea,2020-06-12,0,2020-06-13,sikjalpha
Estonia,2020-06-12,69,2020-06-13,sikjalpha
Eswatini,2020-06-12,3,2020-06-13,sikjalpha
Ethiopia,2020-06-12,47,2020-06-13,sikjalpha
Fiji,2020-06-12,0,2020-06-13,sikjalpha
Finland,2020-06-12,325,2020-06-13,sikjalpha
France,2020-06-12,29377,2020-06-13,sikjalpha
Gabon,2020-06-12,23,2020-06-13,sikjalpha
The Gambia,2020-06-12,1,2020-06-13,sikjalpha
Georgia (Country),2020-06-12,13,2020-06-13,sikjalpha
Germany,2020-06-12,8783,2020-06-13,sikjalpha
Ghana,2020-06-12,48,2020-06-13,sikjalpha
Greece,2020-06-12,183,2020-06-13,sikjalpha
Guatemala,2020-06-12,351,2020-06-13,sikjalpha
Guinea,2020-06-12,24,2020-06-13,sikjalpha
Guyana,2020-06-12,12,2020-06-13,sikjalpha
Haiti,2020-06-12,64,2020-06-13,sikjalpha
Holy See,2020-06-12,0,2020-06-13,sikjalpha
Honduras,2020-06-12,306,2020-06-13,sikjalpha
Hungary,2020-06-12,555,2020-06-13,sikjalpha
Iceland,2020-06-12,10,2020-06-13,sikjalpha
India,2020-06-12,8884,2020-06-13,sikjalpha
Indonesia,2020-06-12,2048,2020-06-13,sikjalpha
Iran,2020-06-12,8659,2020-06-13,sikjalpha
Iraq,2020-06-12,496,2020-06-13,sikjalpha
Ireland,2020-06-12,1705,2020-06-13,sikjalpha
Israel,2020-06-12,300,2020-06-13,sikjalpha
Italy,2020-06-12,34223,2020-06-13,sikjalpha
Jamaica,2020-06-12,10,2020-06-13,sikjalpha
Japan,2020-06-12,924,2020-06-13,sikjalpha
Jordan,2020-06-12,9,2020-06-13,sikjalpha
Kazakhstan,2020-06-12,70,2020-06-13,sikjalpha
Kenya,2020-06-12,96,2020-06-13,sikjalpha
South Korea,2020-06-12,277,2020-06-13,sikjalpha
Kuwait,2020-06-12,285,2020-06-13,sikjalpha
Kyrgyzstan,2020-06-12,26,2020-06-13,sikjalpha
Latvia,2020-06-12,27,2020-06-13,sikjalpha
Lebanon,2020-06-12,31,2020-06-13,sikjalpha
Liberia,2020-06-12,32,2020-06-13,sikjalpha
Liechtenstein,2020-06-12,1,2020-06-13,sikjalpha
Lithuania,2020-06-12,74,2020-06-13,sikjalpha
Luxembourg,2020-06-12,110,2020-06-13,sikjalpha
Madagascar,2020-06-12,10,2020-06-13,sikjalpha
Malaysia,2020-06-12,119,2020-06-13,sikjalpha
Maldives,2020-06-12,8,2020-06-13,sikjalpha
Malta,2020-06-12,9,2020-06-13,sikjalpha
Mauritania,2020-06-12,81,2020-06-13,sikjalpha
Mauritius,2020-06-12,10,2020-06-13,sikjalpha
Mexico,2020-06-12,16448,2020-06-13,sikjalpha
Moldova,2020-06-12,385,2020-06-13,sikjalpha
Monaco,2020-06-12,4,2020-06-13,sikjalpha
Mongolia,2020-06-12,0,2020-06-13,sikjalpha
Montenegro,2020-06-12,9,2020-06-13,sikjalpha
Morocco,2020-06-12,212,2020-06-13,sikjalpha
