location_name,date,deaths,model_date,model
Afghanistan,2020-09-02,1409,2020-09-03,sikjalpha
Albania,2020-09-02,296,2020-09-03,sikjalpha
Algeria,2020-09-02,1523,2020-09-03,sikjalpha
Andorra,2020-09-02,53,2020-09-03,sikjalpha
Angola,2020-09-02,112,2020-09-03,sikjalpha
Antigua and Barbuda,2020-09-02,3,2020-09-03,sikjalpha
Argentina,2020-09-02,9118,2020-09-03,sikjalpha
Armenia,2020-09-02,884,2020-09-03,sikjalpha
Australia,2020-09-02,678,2020-09-03,sikjalpha
Austria,2020-09-02,734,2020-09-03,sikjalpha
Azerbaijan,2020-09-02,538,2020-09-03,sikjalpha
The Bahamas,2020-09-02,50,2020-09-03,sikjalpha
Bahrain,2020-09-02,190,2020-09-03,sikjalpha
Bangladesh,2020-09-02,4351,2020-09-03,sikjalpha
Barbados,2020-09-02,7,2020-09-03,sikjalpha
Belarus,2020-09-02,691,2020-09-03,sikjalpha
Belgium,2020-09-02,9898,2020-09-03,sikjalpha
Benin,2020-09-02,40,2020-09-03,sikjalpha
Bhutan,2020-09-02,0,2020-09-03,sikjalpha
Bolivia,2020-09-02,5203,2020-09-03,sikjalpha
Bosnia and Herzegovina,2020-09-02,627,2020-09-03,sikjalpha
Brazil,2020-09-02,123780,2020-09-03,sikjalpha
Brunei,2020-09-02,3,2020-09-03,sikjalpha
Bulgaria,2020-09-02,648,2020-09-03,sikjalpha
Burkina Faso,2020-09-02,55,2020-09-03,sikjalpha
Cape Verde,2020-09-02,41,2020-09-03,sikjalpha
Cambodia,2020-09-02,0,2020-09-03,sikjalpha
Cameroon,2020-09-02,415,2020-09-03,sikjalpha
Canada,2020-09-02,9182,2020-09-03,sikjalpha
Central African Republic,2020-09-02,62,2020-09-03,sikjalpha
Chad,2020-09-02,77,2020-09-03,sikjalpha
Chile,2020-09-02,11344,2020-09-03,sikjalpha
China,2020-09-02,4727,2020-09-03,sikjalpha
Colombia,2020-09-02,20345,2020-09-03,sikjalpha
Congo,2020-09-02,102,2020-09-03,sikjalpha
Democratic Republic of the Congo,2020-09-02,259,2020-09-03,sikjalpha
Costa Rica,2020-09-02,453,2020-09-03,sikjalpha
Cote d'Ivoire,2020-09-02,117,2020-09-03,sikjalpha
Croatia,2020-09-02,191,2020-09-03,sikjalpha
Diamond Princess,2020-09-02,13,2020-09-03,sikjalpha
Cuba,2020-09-02,98,2020-09-03,sikjalpha
Cyprus,2020-09-02,21,2020-09-03,sikjalpha
Czech Republic,2020-09-02,425,2020-09-03,sikjalpha
Denmark,2020-09-02,626,2020-09-03,sikjalpha
Djibouti,2020-09-02,60,2020-09-03,sikjalpha
Dominican Republic,2020-09-02,1765,2020-09-03,sikjalpha
Ecuador,2020-09-02,6619,2020-09-03,sikjalpha
Egypt,2020-09-02,5461,2020-09-03,sikjalpha
El Salvador,2020-09-02,731,2020-09-03,sikjalpha
Equatorial Guinea,2020-09-02,83,2020-09-03,sikjalpha
Eritrea,2020-09-02,0,2020-09-03,sikjalpha
Estonia,2020-09-02,64,2020-09-03,sikjalpha
Eswatini,2020-09-02,94,2020-09-03,sikjalpha
Ethiopia,2020-09-02,846,2020-09-03,sikjalpha
Fiji,2020-09-02,2,2020-09-03,sikjalpha
Finland,2020-09-02,336,2020-09-03,sikjalpha
France,2020-09-02,30692,2020-09-03,sikjalpha
Gabon,2020-09-02,53,2020-09-03,sikjalpha
The Gambia,2020-09-02,97,2020-09-03,sikjalpha
Georgia (Country),2020-09-02,19,2020-09-03,sikjalpha
Germany,2020-09-02,9322,2020-09-03,sikjalpha
Ghana,2020-09-02,276,2020-09-03,sikjalpha
Greece,2020-09-02,273,2020-09-03,sikjalpha
Guatemala,2020-09-02,2790,2020-09-03,sikjalpha
Guinea,2020-09-02,59,2020-09-03,sikjalpha
Guyana,2020-09-02,41,2020-09-03,sikjalpha
Haiti,2020-09-02,206,2020-09-03,sikjalpha
Holy See,2020-09-02,0,2020-09-03,sikjalpha
Honduras,2020-09-02,1924,2020-09-03,sikjalpha
Hungary,2020-09-02,619,2020-09-03,sikjalpha
Iceland,2020-09-02,10,2020-09-03,sikjalpha
India,2020-09-02,67376,2020-09-03,sikjalpha
Indonesia,2020-09-02,7616,2020-09-03,sikjalpha
Iran,2020-09-02,21797,2020-09-03,sikjalpha
Iraq,2020-09-02,7201,2020-09-03,sikjalpha
Ireland,2020-09-02,1777,2020-09-03,sikjalpha
Israel,2020-09-02,969,2020-09-03,sikjalpha
Italy,2020-09-02,35497,2020-09-03,sikjalpha
