location_name,date,deaths,model_date,model
Afghanistan,2020-07-17,1147,2020-07-18,sikjalpha
Albania,2020-07-17,107,2020-07-18,sikjalpha
Algeria,2020-07-17,1057,2020-07-18,sikjalpha
Andorra,2020-07-17,52,2020-07-18,sikjalpha
Angola,2020-07-17,29,2020-07-18,sikjalpha
Antigua and Barbuda,2020-07-17,3,2020-07-18,sikjalpha
Argentina,2020-07-17,2178,2020-07-18,sikjalpha
Armenia,2020-07-17,620,2020-07-18,sikjalpha
Australia,2020-07-17,118,2020-07-18,sikjalpha
Austria,2020-07-17,711,2020-07-18,sikjalpha
Azerbaijan,2020-07-17,341,2020-07-18,sikjalpha
The Bahamas,2020-07-17,11,2020-07-18,sikjalpha
Bahrain,2020-07-17,124,2020-07-18,sikjalpha
Bangladesh,2020-07-17,2547,2020-07-18,sikjalpha
Barbados,2020-07-17,7,2020-07-18,sikjalpha
Belarus,2020-07-17,491,2020-07-18,sikjalpha
Belgium,2020-07-17,9800,2020-07-18,sikjalpha
Benin,2020-07-17,31,2020-07-18,sikjalpha
Bhutan,2020-07-17,0,2020-07-18,sikjalpha
Bolivia,2020-07-17,2049,2020-07-18,sikjalpha
Bosnia and Herzegovina,2020-07-17,245,2020-07-18,sikjalpha
Brazil,2020-07-17,77851,2020-07-18,sikjalpha
Brunei,2020-07-17,3,2020-07-18,sikjalpha
Bulgaria,2020-07-17,297,2020-07-18,sikjalpha
Burkina Faso,2020-07-17,53,2020-07-18,sikjalpha
Cape Verde,2020-07-17,19,2020-07-18,sikjalpha
Cambodia,2020-07-17,0,2020-07-18,sikjalpha
Cameroon,2020-07-17,373,2020-07-18,sikjalpha
Canada,2020-07-17,8884,2020-07-18,sikjalpha
Central African Republic,2020-07-17,53,2020-07-18,sikjalpha
Chad,2020-07-17,75,2020-07-18,sikjalpha
Chile,2020-07-17,8347,2020-07-18,sikjalpha
China,2020-07-17,4645,2020-07-18,sikjalpha
Colombia,2020-07-17,6288,2020-07-18,sikjalpha
Congo,2020-07-17,49,2020-07-18,sikjalpha
Democratic Republic of the Congo,2020-07-17,193,2020-07-18,sikjalpha
Costa Rica,2020-07-17,47,2020-07-18,sikjalpha
Cote d'Ivoire,2020-07-17,87,2020-07-18,sikjalpha
Croatia,2020-07-17,120,2020-07-18,sikjalpha
Diamond Princess,2020-07-17,13,2020-07-18,sikjalpha
Cuba,2020-07-17,87,2020-07-18,sikjalpha
Cyprus,2020-07-17,19,2020-07-18,sikjalpha
Czech Republic,2020-07-17,358,2020-07-18,sikjalpha
Denmark,2020-07-17,611,2020-07-18,sikjalpha
Djibouti,2020-07-17,56,2020-07-18,sikjalpha
Dominican Republic,2020-07-17,942,2020-07-18,sikjalpha
Ecuador,2020-07-17,5250,2020-07-18,sikjalpha
Egypt,2020-07-17,4188,2020-07-18,sikjalpha
El Salvador,2020-07-17,309,2020-07-18,sikjalpha
Equatorial Guinea,2020-07-17,51,2020-07-18,sikjalpha
Eritrea,2020-07-17,0,2020-07-18,sikjalpha
Estonia,2020-07-17,69,2020-07-18,sikjalpha
Eswatini,2020-07-17,21,2020-07-18,sikjalpha
Ethiopia,2020-07-17,150,2020-07-18,sikjalpha
Fiji,2020-07-17,0,2020-07-18,sikjalpha
Finland,2020-07-17,328,2020-07-18,sikjalpha
France,2020-07-17,30155,2020-07-18,sikjalpha
Gabon,2020-07-17,46,2020-07-18,sikjalpha
The Gambia,2020-07-17,3,2020-07-18,sikjalpha
Georgia (Country),2020-07-17,15,2020-07-18,sikjalpha
Germany,2020-07-17,9088,2020-07-18,sikjalpha
Ghana,2020-07-17,144,2020-07-18,sikjalpha
Greece,2020-07-17,194,2020-07-18,sikjalpha
Guatemala,2020-07-17,1443,2020-07-18,sikjalpha
Guinea,2020-07-17,39,2020-07-18,sikjalpha
Guyana,2020-07-17,19,2020-07-18,sikjalpha
Haiti,2020-07-17,146,2020-07-18,sikjalpha
Holy See,2020-07-17,0,2020-07-18,sikjalpha
Honduras,2020-07-17,857,2020-07-18,sikjalpha
Hungary,2020-07-17,595,2020-07-18,sikjalpha
Iceland,2020-07-17,10,2020-07-18,sikjalpha
India,2020-07-17,26273,2020-07-18,sikjalpha
Indonesia,2020-07-17,3957,2020-07-18,sikjalpha
Iran,2020-07-17,13791,2020-07-18,sikjalpha
