location_name,date,deaths,model_date,model
Afghanistan,2020-07-13,1012,2020-07-14,sikjalpha
Albania,2020-07-13,95,2020-07-14,sikjalpha
Algeria,2020-07-13,1018,2020-07-14,sikjalpha
Andorra,2020-07-13,52,2020-07-14,sikjalpha
Angola,2020-07-13,26,2020-07-14,sikjalpha
Antigua and Barbuda,2020-07-13,3,2020-07-14,sikjalpha
Argentina,2020-07-13,1903,2020-07-14,sikjalpha
Armenia,2020-07-13,573,2020-07-14,sikjalpha
Australia,2020-07-13,108,2020-07-14,sikjalpha
Austria,2020-07-13,708,2020-07-14,sikjalpha
Azerbaijan,2020-07-13,313,2020-07-14,sikjalpha
The Bahamas,2020-07-13,11,2020-07-14,sikjalpha
Bahrain,2020-07-13,109,2020-07-14,sikjalpha
Bangladesh,2020-07-13,2391,2020-07-14,sikjalpha
Barbados,2020-07-13,7,2020-07-14,sikjalpha
Belarus,2020-07-13,468,2020-07-14,sikjalpha
Belgium,2020-07-13,9782,2020-07-14,sikjalpha
Benin,2020-07-13,26,2020-07-14,sikjalpha
Bhutan,2020-07-13,0,2020-07-14,sikjalpha
Bolivia,2020-07-13,1866,2020-07-14,sikjalpha
Bosnia and Herzegovina,2020-07-13,226,2020-07-14,sikjalpha
Brazil,2020-07-13,72833,2020-07-14,sikjalpha
Brunei,2020-07-13,3,2020-07-14,sikjalpha
Bulgaria,2020-07-13,276,2020-07-14,sikjalpha
Burkina Faso,2020-07-13,53,2020-07-14,sikjalpha
Cape Verde,2020-07-13,19,2020-07-14,sikjalpha
Cambodia,2020-07-13,0,2020-07-14,sikjalpha
Cameroon,2020-07-13,359,2020-07-14,sikjalpha
Canada,2020-07-13,8836,2020-07-14,sikjalpha
Central African Republic,2020-07-13,53,2020-07-14,sikjalpha
Chad,2020-07-13,75,2020-07-14,sikjalpha
Chile,2020-07-13,7024,2020-07-14,sikjalpha
China,2020-07-13,4641,2020-07-14,sikjalpha
Colombia,2020-07-13,5455,2020-07-14,sikjalpha
Congo,2020-07-13,47,2020-07-14,sikjalpha
Democratic Republic of the Congo,2020-07-13,190,2020-07-14,sikjalpha
Costa Rica,2020-07-13,34,2020-07-14,sikjalpha
Cote d'Ivoire,2020-07-13,84,2020-07-14,sikjalpha
Croatia,2020-07-13,119,2020-07-14,sikjalpha
Diamond Princess,2020-07-13,13,2020-07-14,sikjalpha
Cuba,2020-07-13,87,2020-07-14,sikjalpha
Cyprus,2020-07-13,19,2020-07-14,sikjalpha
Czech Republic,2020-07-13,353,2020-07-14,sikjalpha
Denmark,2020-07-13,610,2020-07-14,sikjalpha
Djibouti,2020-07-13,56,2020-07-14,sikjalpha
Dominican Republic,2020-07-13,903,2020-07-14,sikjalpha
Ecuador,2020-07-13,5063,2020-07-14,sikjalpha
Egypt,2020-07-13,3935,2020-07-14,sikjalpha
El Salvador,2020-07-13,267,2020-07-14,sikjalpha
Equatorial Guinea,2020-07-13,51,2020-07-14,sikjalpha
Eritrea,2020-07-13,0,2020-07-14,sikjalpha
Estonia,2020-07-13,69,2020-07-14,sikjalpha
Eswatini,2020-07-13,20,2020-07-14,sikjalpha
Ethiopia,2020-07-13,128,2020-07-14,sikjalpha
Fiji,2020-07-13,0,2020-07-14,sikjalpha
Finland,2020-07-13,329,2020-07-14,sikjalpha
France,2020-07-13,30032,2020-07-14,sikjalpha
Gabon,2020-07-13,46,2020-07-14,sikjalpha
The Gambia,2020-07-13,3,2020-07-14,sikjalpha
Georgia (Country),2020-07-13,15,2020-07-14,sikjalpha
Germany,2020-07-13,9074,2020-07-14,sikjalpha
Ghana,2020-07-13,139,2020-07-14,sikjalpha
Greece,2020-07-13,193,2020-07-14,sikjalpha
Guatemala,2020-07-13,1244,2020-07-14,sikjalpha
Guinea,2020-07-13,37,2020-07-14,sikjalpha
Guyana,2020-07-13,17,2020-07-14,sikjalpha
Haiti,2020-07-13,141,2020-07-14,sikjalpha
Holy See,2020-07-13,0,2020-07-14,sikjalpha
Honduras,2020-07-13,789,2020-07-14,sikjalpha
Hungary,2020-07-13,595,2020-07-14,sikjalpha
Iceland,2020-07-13,10,2020-07-14,sikjalpha
India,2020-07-13,23727,2020-07-14,sikjalpha
Indonesia,2020-07-13,3656,2020-07-14,sikjalpha
Iran,2020-07-13,13032,2020-07-14,sikjalpha
Iraq,2020-07-13,3250,2020-07-14,sikjalpha
Ireland,2020-07-13,1746,2020-07-14,sikjalpha
Israel,2020-07-13,365,2020-07-14,sikjalpha
Italy,2020-07-13,34967,2020-07-14,sikjalpha
Jamaica,2020-07-13,10,2020-07-14,sikjalpha
Japan,2020-07-13,984,2020-07-14,sikjalpha
Jordan,2020-07-13,10,2020-07-14,sikjalpha
Kazakhstan,2020-07-13,375,2020-07-14,sikjalpha
Kenya,2020-07-13,197,2020-07-14,sikjalpha
South Korea,2020-07-13,289,2020-07-14,sikjalpha
Kuwait,2020-07-13,393,2020-07-14,sikjalpha
Kyrgyzstan,2020-07-13,149,2020-07-14,sikjalpha
Latvia,2020-07-13,31,2020-07-14,sikjalpha
Lebanon,2020-07-13,36,2020-07-14,sikjalpha
Liberia,2020-07-13,51,2020-07-14,sikjalpha
Liechtenstein,2020-07-13,1,2020-07-14,sikjalpha
Lithuania,2020-07-13,79,2020-07-14,sikjalpha
Luxembourg,2020-07-13,111,2020-07-14,sikjalpha
Madagascar,2020-07-13,37,2020-07-14,sikjalpha
Malaysia,2020-07-13,122,2020-07-14,sikjalpha
Maldives,2020-07-13,13,2020-07-14,sikjalpha
Malta,2020-07-13,9,2020-07-14,sikjalpha
Mauritania,2020-07-13,147,2020-07-14,sikjalpha
Mauritius,2020-07-13,10,2020-07-14,sikjalpha
Mexico,2020-07-13,35491,2020-07-14,sikjalpha
Moldova,2020-07-13,649,2020-07-14,sikjalpha
Monaco,2020-07-13,4,2020-07-14,sikjalpha
Mongolia,2020-07-13,0,2020-07-14,sikjalpha
Montenegro,2020-07-13,24,2020-07-14,sikjalpha
Morocco,2020-07-13,255,2020-07-14,sikjalpha
Namibia,2020-07-13,1,2020-07-14,sikjalpha
Nepal,2020-07-13,38,2020-07-14,sikjalpha
Netherlands,2020-07-13,6156,2020-07-14,sikjalpha
New Zealand,2020-07-13,22,2020-07-14,sikjalpha
Nicaragua,2020-07-13,91,2020-07-14,sikjalpha
Niger,2020-07-13,68,2020-07-14,sikjalpha
Nigeria,2020-07-13,744,2020-07-14,sikjalpha
Macedonia,2020-07-13,385,2020-07-14,sikjalpha
Norway,2020-07-13,253,2020-07-14,sikjalpha
Oman,2020-07-13,259,2020-07-14,sikjalpha
Pakistan,2020-07-13,5320,2020-07-14,sikjalpha
Panama,2020-07-13,932,2020-07-14,sikjalpha
Papua New Guinea,2020-07-13,0,2020-07-14,sikjalpha
Paraguay,2020-07-13,25,2020-07-14,sikjalpha
Peru,2020-07-13,12054,2020-07-14,sikjalpha
Philippines,2020-07-13,1599,2020-07-14,sikjalpha
Poland,2020-07-13,1576,2020-07-14,sikjalpha
Portugal,2020-07-13,1662,2020-07-14,sikjalpha
Qatar,2020-07-13,149,2020-07-14,sikjalpha
Romania,2020-07-13,1901,2020-07-14,sikjalpha
Russian Federation,2020-07-13,11422,2020-07-14,sikjalpha
Rwanda,2020-07-13,4,2020-07-14,sikjalpha
Saint Lucia,2020-07-13,0,2020-07-14,sikjalpha
Saint Vincent and the Grenadines,2020-07-13,0,2020-07-14,sikjalpha
San Marino,2020-07-13,42,2020-07-14,sikjalpha
Saudi Arabia,2020-07-13,2243,2020-07-14,sikjalpha
Senegal,2020-07-13,150,2020-07-14,sikjalpha
Serbia,2020-07-13,405,2020-07-14,sikjalpha
Seychelles,2020-07-13,0,2020-07-14,sikjalpha
Singapore,2020-07-13,26,2020-07-14,sikjalpha
Slovakia,2020-07-13,28,2020-07-14,sikjalpha
Slovenia,2020-07-13,111,2020-07-14,sikjalpha
Somalia,2020-07-13,93,2020-07-14,sikjalpha
South Africa,2020-07-13,4172,2020-07-14,sikjalpha
Spain,2020-07-13,28406,2020-07-14,sikjalpha
Sri Lanka,2020-07-13,11,2020-07-14,sikjalpha
Sudan,2020-07-13,657,2020-07-14,sikjalpha
Suriname,2020-07-13,18,2020-07-14,sikjalpha
Sweden,2020-07-13,5536,2020-07-14,sikjalpha
Switzerland,2020-07-13,1968,2020-07-14,sikjalpha
Tanzania,2020-07-13,21,2020-07-14,sikjalpha
Thailand,2020-07-13,58,2020-07-14,sikjalpha
Togo,2020-07-13,15,2020-07-14,sikjalpha
Trinidad and Tobago,2020-07-13,8,2020-07-14,sikjalpha
Tunisia,2020-07-13,50,2020-07-14,sikjalpha
Turkey,2020-07-13,5382,2020-07-14,sikjalpha
Uganda,2020-07-13,0,2020-07-14,sikjalpha
Ukraine,2020-07-13,1415,2020-07-14,sikjalpha
United Arab Emirates,2020-07-13,334,2020-07-14,sikjalpha
United Kingdom,2020-07-13,44915,2020-07-14,sikjalpha
Uruguay,2020-07-13,31,2020-07-14,sikjalpha
United States,2020-07-13,135566,2020-07-14,sikjalpha
Uzbekistan,2020-07-13,64,2020-07-14,sikjalpha
Venezuela,2020-07-13,93,2020-07-14,sikjalpha
Vietnam,2020-07-13,0,2020-07-14,sikjalpha
Zambia,2020-07-13,42,2020-07-14,sikjalpha
Zimbabwe,2020-07-13,19,2020-07-14,sikjalpha
Dominica,2020-07-13,0,2020-07-14,sikjalpha
Grenada,2020-07-13,0,2020-07-14,sikjalpha
Mozambique,2020-07-13,9,2020-07-14,sikjalpha
Syria,2020-07-13,19,2020-07-14,sikjalpha
Timor-Leste,2020-07-13,0,2020-07-14,sikjalpha
Belize,2020-07-13,2,2020-07-14,sikjalpha
Laos,2020-07-13,0,2020-07-14,sikjalpha
Libya,2020-07-13,40,2020-07-14,sikjalpha
West Bank and Gaza,2020-07-13,39,2020-07-14,sikjalpha
Guinea-Bissau,2020-07-13,26,2020-07-14,sikjalpha
Mali,2020-07-13,121,2020-07-14,sikjalpha
Saint Kitts and Nevis,2020-07-13,0,2020-07-14,sikjalpha
Kosovo,2020-07-13,108,2020-07-14,sikjalpha
Myanmar,2020-07-13,6,2020-07-14,sikjalpha
MS Zaandam,2020-07-13,2,2020-07-14,sikjalpha
Botswana,2020-07-13,1,2020-07-14,sikjalpha
Burundi,2020-07-13,1,2020-07-14,sikjalpha
Sierra Leone,2020-07-13,63,2020-07-14,sikjalpha
Malawi,2020-07-13,39,2020-07-14,sikjalpha
South Sudan,2020-07-13,41,2020-07-14,sikjalpha
Western Sahara,2020-07-13,1,2020-07-14,sikjalpha
Sao Tome and Principe,2020-07-13,14,2020-07-14,sikjalpha
Yemen,2020-07-13,424,2020-07-14,sikjalpha
Washington,2020-07-13,1399,2020-07-14,sikjalpha
Illinois,2020-07-13,7394,2020-07-14,sikjalpha
California,2020-07-13,7089,2020-07-14,sikjalpha
Arizona,2020-07-13,2246,2020-07-14,sikjalpha
Massachusetts,2020-07-13,8330,2020-07-14,sikjalpha
Wisconsin,2020-07-13,820,2020-07-14,sikjalpha
Texas,2020-07-13,3276,2020-07-14,sikjalpha
Nebraska,2020-07-13,288,2020-07-14,sikjalpha
Utah,2020-07-13,216,2020-07-14,sikjalpha
Oregon,2020-07-13,237,2020-07-14,sikjalpha
Florida,2020-07-13,4277,2020-07-14,sikjalpha
New York,2020-07-13,32395,2020-07-14,sikjalpha
Rhode Island,2020-07-13,984,2020-07-14,sikjalpha
Georgia,2020-07-13,3026,2020-07-14,sikjalpha
New Hampshire,2020-07-13,391,2020-07-14,sikjalpha
North Carolina,2020-07-13,1529,2020-07-14,sikjalpha
New Jersey,2020-07-13,15560,2020-07-14,sikjalpha
Colorado,2020-07-13,1727,2020-07-14,sikjalpha
Maryland,2020-07-13,3325,2020-07-14,sikjalpha
Nevada,2020-07-13,593,2020-07-14,sikjalpha
Tennessee,2020-07-13,749,2020-07-14,sikjalpha
Hawaii,2020-07-13,22,2020-07-14,sikjalpha
Indiana,2020-07-13,2762,2020-07-14,sikjalpha
Kentucky,2020-07-13,629,2020-07-14,sikjalpha
Minnesota,2020-07-13,1542,2020-07-14,sikjalpha
Oklahoma,2020-07-13,424,2020-07-14,sikjalpha
Pennsylvania,2020-07-13,6911,2020-07-14,sikjalpha
South Carolina,2020-07-13,972,2020-07-14,sikjalpha
District of Columbia,2020-07-13,568,2020-07-14,sikjalpha
Kansas,2020-07-13,298,2020-07-14,sikjalpha
Missouri,2020-07-13,1105,2020-07-14,sikjalpha
Vermont,2020-07-13,56,2020-07-14,sikjalpha
Virginia,2020-07-13,1968,2020-07-14,sikjalpha
Connecticut,2020-07-13,4371,2020-07-14,sikjalpha
Iowa,2020-07-13,755,2020-07-14,sikjalpha
Louisiana,2020-07-13,3423,2020-07-14,sikjalpha
Ohio,2020-07-13,3064,2020-07-14,sikjalpha
Michigan,2020-07-13,6321,2020-07-14,sikjalpha
South Dakota,2020-07-13,109,2020-07-14,sikjalpha
Arkansas,2020-07-13,323,2020-07-14,sikjalpha
Delaware,2020-07-13,517,2020-07-14,sikjalpha
Mississippi,2020-07-13,1250,2020-07-14,sikjalpha
New Mexico,2020-07-13,548,2020-07-14,sikjalpha
North Dakota,2020-07-13,87,2020-07-14,sikjalpha
Wyoming,2020-07-13,21,2020-07-14,sikjalpha
Alaska,2020-07-13,17,2020-07-14,sikjalpha
Maine,2020-07-13,114,2020-07-14,sikjalpha
Alabama,2020-07-13,1124,2020-07-14,sikjalpha
Idaho,2020-07-13,102,2020-07-14,sikjalpha
Montana,2020-07-13,32,2020-07-14,sikjalpha
Puerto Rico,2020-07-13,167,2020-07-14,sikjalpha
"Virgin Islands, U.S.",2020-07-13,6,2020-07-14,sikjalpha
Guam,2020-07-13,5,2020-07-14,sikjalpha
West Virginia,2020-07-13,97,2020-07-14,sikjalpha
Northern Mariana Islands,2020-07-13,2,2020-07-14,sikjalpha
American Samoa,2020-07-13,0,2020-07-14,sikjalpha
Afghanistan,2020-07-14,1029,2020-07-14,sikjalpha
Albania,2020-07-14,98,2020-07-14,sikjalpha
Algeria,2020-07-14,1026,2020-07-14,sikjalpha
Andorra,2020-07-14,52,2020-07-14,sikjalpha
Angola,2020-07-14,27,2020-07-14,sikjalpha
Antigua and Barbuda,2020-07-14,3,2020-07-14,sikjalpha
Argentina,2020-07-14,1952,2020-07-14,sikjalpha
Armenia,2020-07-14,584,2020-07-14,sikjalpha
Australia,2020-07-14,108,2020-07-14,sikjalpha
Austria,2020-07-14,708,2020-07-14,sikjalpha
Azerbaijan,2020-07-14,321,2020-07-14,sikjalpha
The Bahamas,2020-07-14,11,2020-07-14,sikjalpha
Bahrain,2020-07-14,111,2020-07-14,sikjalpha
Bangladesh,2020-07-14,2429,2020-07-14,sikjalpha
Barbados,2020-07-14,7,2020-07-14,sikjalpha
Belarus,2020-07-14,473,2020-07-14,sikjalpha
Belgium,2020-07-14,9783,2020-07-14,sikjalpha
Benin,2020-07-14,27,2020-07-14,sikjalpha
Bhutan,2020-07-14,0,2020-07-14,sikjalpha
Bolivia,2020-07-14,1923,2020-07-14,sikjalpha
Bosnia and Herzegovina,2020-07-14,230,2020-07-14,sikjalpha
Brazil,2020-07-14,73789,2020-07-14,sikjalpha
Brunei,2020-07-14,3,2020-07-14,sikjalpha
Bulgaria,2020-07-14,280,2020-07-14,sikjalpha
Burkina Faso,2020-07-14,53,2020-07-14,sikjalpha
Cape Verde,2020-07-14,19,2020-07-14,sikjalpha
Cambodia,2020-07-14,0,2020-07-14,sikjalpha
Cameroon,2020-07-14,359,2020-07-14,sikjalpha
Canada,2020-07-14,8846,2020-07-14,sikjalpha
Central African Republic,2020-07-14,53,2020-07-14,sikjalpha
Chad,2020-07-14,75,2020-07-14,sikjalpha
Chile,2020-07-14,7112,2020-07-14,sikjalpha
China,2020-07-14,4641,2020-07-14,sikjalpha
Colombia,2020-07-14,5642,2020-07-14,sikjalpha
Congo,2020-07-14,47,2020-07-14,sikjalpha
Democratic Republic of the Congo,2020-07-14,191,2020-07-14,sikjalpha
Costa Rica,2020-07-14,36,2020-07-14,sikjalpha
Cote d'Ivoire,2020-07-14,85,2020-07-14,sikjalpha
Croatia,2020-07-14,120,2020-07-14,sikjalpha
Diamond Princess,2020-07-14,13,2020-07-14,sikjalpha
Cuba,2020-07-14,87,2020-07-14,sikjalpha
Cyprus,2020-07-14,19,2020-07-14,sikjalpha
Czech Republic,2020-07-14,353,2020-07-14,sikjalpha
Denmark,2020-07-14,610,2020-07-14,sikjalpha
Djibouti,2020-07-14,56,2020-07-14,sikjalpha
Dominican Republic,2020-07-14,918,2020-07-14,sikjalpha
Ecuador,2020-07-14,5103,2020-07-14,sikjalpha
Egypt,2020-07-14,4007,2020-07-14,sikjalpha
El Salvador,2020-07-14,273,2020-07-14,sikjalpha
Equatorial Guinea,2020-07-14,51,2020-07-14,sikjalpha
Eritrea,2020-07-14,0,2020-07-14,sikjalpha
Estonia,2020-07-14,69,2020-07-14,sikjalpha
Eswatini,2020-07-14,21,2020-07-14,sikjalpha
Ethiopia,2020-07-14,132,2020-07-14,sikjalpha
Fiji,2020-07-14,0,2020-07-14,sikjalpha
Finland,2020-07-14,329,2020-07-14,sikjalpha
France,2020-07-14,30048,2020-07-14,sikjalpha
Gabon,2020-07-14,46,2020-07-14,sikjalpha
The Gambia,2020-07-14,3,2020-07-14,sikjalpha
Georgia (Country),2020-07-14,15,2020-07-14,sikjalpha
Germany,2020-07-14,9079,2020-07-14,sikjalpha
Ghana,2020-07-14,141,2020-07-14,sikjalpha
Greece,2020-07-14,193,2020-07-14,sikjalpha
Guatemala,2020-07-14,1286,2020-07-14,sikjalpha
Guinea,2020-07-14,38,2020-07-14,sikjalpha
Guyana,2020-07-14,17,2020-07-14,sikjalpha
Haiti,2020-07-14,145,2020-07-14,sikjalpha
Holy See,2020-07-14,0,2020-07-14,sikjalpha
Honduras,2020-07-14,809,2020-07-14,sikjalpha
Hungary,2020-07-14,596,2020-07-14,sikjalpha
Iceland,2020-07-14,10,2020-07-14,sikjalpha
India,2020-07-14,24262,2020-07-14,sikjalpha
Indonesia,2020-07-14,3716,2020-07-14,sikjalpha
Iran,2020-07-14,13216,2020-07-14,sikjalpha
Iraq,2020-07-14,3344,2020-07-14,sikjalpha
Ireland,2020-07-14,1747,2020-07-14,sikjalpha
Israel,2020-07-14,369,2020-07-14,sikjalpha
Italy,2020-07-14,34979,2020-07-14,sikjalpha
Jamaica,2020-07-14,10,2020-07-14,sikjalpha
Japan,2020-07-14,985,2020-07-14,sikjalpha
Jordan,2020-07-14,10,2020-07-14,sikjalpha
Kazakhstan,2020-07-14,403,2020-07-14,sikjalpha
Kenya,2020-07-14,202,2020-07-14,sikjalpha
South Korea,2020-07-14,289,2020-07-14,sikjalpha
Kuwait,2020-07-14,396,2020-07-14,sikjalpha
Kyrgyzstan,2020-07-14,157,2020-07-14,sikjalpha
Latvia,2020-07-14,31,2020-07-14,sikjalpha
Lebanon,2020-07-14,36,2020-07-14,sikjalpha
Liberia,2020-07-14,52,2020-07-14,sikjalpha
Liechtenstein,2020-07-14,1,2020-07-14,sikjalpha
Lithuania,2020-07-14,79,2020-07-14,sikjalpha
Luxembourg,2020-07-14,111,2020-07-14,sikjalpha
Madagascar,2020-07-14,38,2020-07-14,sikjalpha
Malaysia,2020-07-14,122,2020-07-14,sikjalpha
Maldives,2020-07-14,13,2020-07-14,sikjalpha
Malta,2020-07-14,9,2020-07-14,sikjalpha
Mauritania,2020-07-14,148,2020-07-14,sikjalpha
Mauritius,2020-07-14,10,2020-07-14,sikjalpha
Mexico,2020-07-14,36024,2020-07-14,sikjalpha
Moldova,2020-07-14,656,2020-07-14,sikjalpha
Monaco,2020-07-14,4,2020-07-14,sikjalpha
Mongolia,2020-07-14,0,2020-07-14,sikjalpha
Montenegro,2020-07-14,25,2020-07-14,sikjalpha
Morocco,2020-07-14,257,2020-07-14,sikjalpha
Namibia,2020-07-14,1,2020-07-14,sikjalpha
Nepal,2020-07-14,39,2020-07-14,sikjalpha
Netherlands,2020-07-14,6158,2020-07-14,sikjalpha
New Zealand,2020-07-14,22,2020-07-14,sikjalpha
Nicaragua,2020-07-14,91,2020-07-14,sikjalpha
Niger,2020-07-14,68,2020-07-14,sikjalpha
Nigeria,2020-07-14,756,2020-07-14,sikjalpha
Macedonia,2020-07-14,391,2020-07-14,sikjalpha
Norway,2020-07-14,253,2020-07-14,sikjalpha
Oman,2020-07-14,265,2020-07-14,sikjalpha
Pakistan,2020-07-14,5385,2020-07-14,sikjalpha
Panama,2020-07-14,957,2020-07-14,sikjalpha
Papua New Guinea,2020-07-14,0,2020-07-14,sikjalpha
Paraguay,2020-07-14,26,2020-07-14,sikjalpha
Peru,2020-07-14,12238,2020-07-14,sikjalpha
Philippines,2020-07-14,1635,2020-07-14,sikjalpha
Poland,2020-07-14,1583,2020-07-14,sikjalpha
Portugal,2020-07-14,1667,2020-07-14,sikjalpha
Qatar,2020-07-14,151,2020-07-14,sikjalpha
Romania,2020-07-14,1922,2020-07-14,sikjalpha
Russian Federation,2020-07-14,11573,2020-07-14,sikjalpha
Rwanda,2020-07-14,4,2020-07-14,sikjalpha
Saint Lucia,2020-07-14,0,2020-07-14,sikjalpha
Saint Vincent and the Grenadines,2020-07-14,0,2020-07-14,sikjalpha
San Marino,2020-07-14,42,2020-07-14,sikjalpha
Saudi Arabia,2020-07-14,2282,2020-07-14,sikjalpha
Senegal,2020-07-14,152,2020-07-14,sikjalpha
Serbia,2020-07-14,418,2020-07-14,sikjalpha
Seychelles,2020-07-14,0,2020-07-14,sikjalpha
Singapore,2020-07-14,26,2020-07-14,sikjalpha
Slovakia,2020-07-14,28,2020-07-14,sikjalpha
Slovenia,2020-07-14,111,2020-07-14,sikjalpha
Somalia,2020-07-14,93,2020-07-14,sikjalpha
South Africa,2020-07-14,4316,2020-07-14,sikjalpha
Spain,2020-07-14,28408,2020-07-14,sikjalpha
Sri Lanka,2020-07-14,11,2020-07-14,sikjalpha
Sudan,2020-07-14,661,2020-07-14,sikjalpha
Suriname,2020-07-14,18,2020-07-14,sikjalpha
Sweden,2020-07-14,5547,2020-07-14,sikjalpha
Switzerland,2020-07-14,1968,2020-07-14,sikjalpha
Tanzania,2020-07-14,21,2020-07-14,sikjalpha
Thailand,2020-07-14,58,2020-07-14,sikjalpha
Togo,2020-07-14,15,2020-07-14,sikjalpha
Trinidad and Tobago,2020-07-14,8,2020-07-14,sikjalpha
Tunisia,2020-07-14,50,2020-07-14,sikjalpha
Turkey,2020-07-14,5399,2020-07-14,sikjalpha
Uganda,2020-07-14,0,2020-07-14,sikjalpha
Ukraine,2020-07-14,1434,2020-07-14,sikjalpha
United Arab Emirates,2020-07-14,336,2020-07-14,sikjalpha
United Kingdom,2020-07-14,45002,2020-07-14,sikjalpha
Uruguay,2020-07-14,31,2020-07-14,sikjalpha
United States,2020-07-14,136306,2020-07-14,sikjalpha
Uzbekistan,2020-07-14,68,2020-07-14,sikjalpha
Venezuela,2020-07-14,97,2020-07-14,sikjalpha
Vietnam,2020-07-14,0,2020-07-14,sikjalpha
Zambia,2020-07-14,42,2020-07-14,sikjalpha
Zimbabwe,2020-07-14,21,2020-07-14,sikjalpha
Dominica,2020-07-14,0,2020-07-14,sikjalpha
Grenada,2020-07-14,0,2020-07-14,sikjalpha
Mozambique,2020-07-14,9,2020-07-14,sikjalpha
Syria,2020-07-14,20,2020-07-14,sikjalpha
Timor-Leste,2020-07-14,0,2020-07-14,sikjalpha
Belize,2020-07-14,2,2020-07-14,sikjalpha
Laos,2020-07-14,0,2020-07-14,sikjalpha
Libya,2020-07-14,42,2020-07-14,sikjalpha
West Bank and Gaza,2020-07-14,43,2020-07-14,sikjalpha
Guinea-Bissau,2020-07-14,26,2020-07-14,sikjalpha
Mali,2020-07-14,121,2020-07-14,sikjalpha
Saint Kitts and Nevis,2020-07-14,0,2020-07-14,sikjalpha
Kosovo,2020-07-14,114,2020-07-14,sikjalpha
Myanmar,2020-07-14,6,2020-07-14,sikjalpha
MS Zaandam,2020-07-14,2,2020-07-14,sikjalpha
Botswana,2020-07-14,1,2020-07-14,sikjalpha
Burundi,2020-07-14,1,2020-07-14,sikjalpha
Sierra Leone,2020-07-14,63,2020-07-14,sikjalpha
Malawi,2020-07-14,42,2020-07-14,sikjalpha
South Sudan,2020-07-14,41,2020-07-14,sikjalpha
Western Sahara,2020-07-14,1,2020-07-14,sikjalpha
Sao Tome and Principe,2020-07-14,14,2020-07-14,sikjalpha
Yemen,2020-07-14,432,2020-07-14,sikjalpha
Washington,2020-07-14,1405,2020-07-14,sikjalpha
Illinois,2020-07-14,7412,2020-07-14,sikjalpha
California,2020-07-14,7162,2020-07-14,sikjalpha
Arizona,2020-07-14,2301,2020-07-14,sikjalpha
Massachusetts,2020-07-14,8349,2020-07-14,sikjalpha
Wisconsin,2020-07-14,823,2020-07-14,sikjalpha
Texas,2020-07-14,3365,2020-07-14,sikjalpha
Nebraska,2020-07-14,289,2020-07-14,sikjalpha
Utah,2020-07-14,219,2020-07-14,sikjalpha
Oregon,2020-07-14,240,2020-07-14,sikjalpha
Florida,2020-07-14,4352,2020-07-14,sikjalpha
New York,2020-07-14,32423,2020-07-14,sikjalpha
Rhode Island,2020-07-14,987,2020-07-14,sikjalpha
Georgia,2020-07-14,3049,2020-07-14,sikjalpha
New Hampshire,2020-07-14,392,2020-07-14,sikjalpha
