location_name,date,deaths,model_date,model
Afghanistan,2020-06-15,478,2020-06-16,sikjalpha
Albania,2020-06-15,36,2020-06-16,sikjalpha
Algeria,2020-06-15,777,2020-06-16,sikjalpha
Andorra,2020-06-15,51,2020-06-16,sikjalpha
Angola,2020-06-15,6,2020-06-16,sikjalpha
Antigua and Barbuda,2020-06-15,3,2020-06-16,sikjalpha
Argentina,2020-06-15,854,2020-06-16,sikjalpha
Armenia,2020-06-15,285,2020-06-16,sikjalpha
Australia,2020-06-15,102,2020-06-16,sikjalpha
Austria,2020-06-15,678,2020-06-16,sikjalpha
Azerbaijan,2020-06-15,122,2020-06-16,sikjalpha
The Bahamas,2020-06-15,11,2020-06-16,sikjalpha
Bahrain,2020-06-15,46,2020-06-16,sikjalpha
Bangladesh,2020-06-15,1209,2020-06-16,sikjalpha
Barbados,2020-06-15,7,2020-06-16,sikjalpha
Belarus,2020-06-15,312,2020-06-16,sikjalpha
Belgium,2020-06-15,9661,2020-06-16,sikjalpha
Benin,2020-06-15,9,2020-06-16,sikjalpha
Bhutan,2020-06-15,0,2020-06-16,sikjalpha
Bolivia,2020-06-15,632,2020-06-16,sikjalpha
Bosnia and Herzegovina,2020-06-15,165,2020-06-16,sikjalpha
Brazil,2020-06-15,43959,2020-06-16,sikjalpha
Brunei,2020-06-15,2,2020-06-16,sikjalpha
Bulgaria,2020-06-15,176,2020-06-16,sikjalpha
Burkina Faso,2020-06-15,53,2020-06-16,sikjalpha
Cape Verde,2020-06-15,7,2020-06-16,sikjalpha
Cambodia,2020-06-15,0,2020-06-16,sikjalpha
Cameroon,2020-06-15,276,2020-06-16,sikjalpha
Canada,2020-06-15,8228,2020-06-16,sikjalpha
Central African Republic,2020-06-15,7,2020-06-16,sikjalpha
Chad,2020-06-15,73,2020-06-16,sikjalpha
Chile,2020-06-15,3362,2020-06-16,sikjalpha
China,2020-06-15,4638,2020-06-16,sikjalpha
Colombia,2020-06-15,1726,2020-06-16,sikjalpha
Congo,2020-06-15,27,2020-06-16,sikjalpha
Democratic Republic of the Congo,2020-06-15,112,2020-06-16,sikjalpha
Costa Rica,2020-06-15,12,2020-06-16,sikjalpha
Cote d'Ivoire,2020-06-15,46,2020-06-16,sikjalpha
Croatia,2020-06-15,107,2020-06-16,sikjalpha
Diamond Princess,2020-06-15,13,2020-06-16,sikjalpha
Cuba,2020-06-15,84,2020-06-16,sikjalpha
Cyprus,2020-06-15,18,2020-06-16,sikjalpha
Czech Republic,2020-06-15,330,2020-06-16,sikjalpha
Denmark,2020-06-15,598,2020-06-16,sikjalpha
Djibouti,2020-06-15,43,2020-06-16,sikjalpha
Dominican Republic,2020-06-15,605,2020-06-16,sikjalpha
Ecuador,2020-06-15,3929,2020-06-16,sikjalpha
Egypt,2020-06-15,1672,2020-06-16,sikjalpha
El Salvador,2020-06-15,74,2020-06-16,sikjalpha
Equatorial Guinea,2020-06-15,12,2020-06-16,sikjalpha
Eritrea,2020-06-15,0,2020-06-16,sikjalpha
Estonia,2020-06-15,69,2020-06-16,sikjalpha
Eswatini,2020-06-15,4,2020-06-16,sikjalpha
Ethiopia,2020-06-15,60,2020-06-16,sikjalpha
Fiji,2020-06-15,0,2020-06-16,sikjalpha
Finland,2020-06-15,326,2020-06-16,sikjalpha
France,2020-06-15,29439,2020-06-16,sikjalpha
Gabon,2020-06-15,27,2020-06-16,sikjalpha
The Gambia,2020-06-15,1,2020-06-16,sikjalpha
Georgia (Country),2020-06-15,14,2020-06-16,sikjalpha
Germany,2020-06-15,8807,2020-06-16,sikjalpha
Ghana,2020-06-15,54,2020-06-16,sikjalpha
Greece,2020-06-15,184,2020-06-16,sikjalpha
Guatemala,2020-06-15,399,2020-06-16,sikjalpha
Guinea,2020-06-15,26,2020-06-16,sikjalpha
Guyana,2020-06-15,12,2020-06-16,sikjalpha
Haiti,2020-06-15,76,2020-06-16,sikjalpha
Holy See,2020-06-15,0,2020-06-16,sikjalpha
Honduras,2020-06-15,322,2020-06-16,sikjalpha
Hungary,2020-06-15,563,2020-06-16,sikjalpha
Iceland,2020-06-15,10,2020-06-16,sikjalpha
India,2020-06-15,9900,2020-06-16,sikjalpha
Indonesia,2020-06-15,2198,2020-06-16,sikjalpha
Iran,2020-06-15,8950,2020-06-16,sikjalpha
Iraq,2020-06-15,652,2020-06-16,sikjalpha
Ireland,2020-06-15,1706,2020-06-16,sikjalpha
Israel,2020-06-15,302,2020-06-16,sikjalpha
Italy,2020-06-15,34371,2020-06-16,sikjalpha
Jamaica,2020-06-15,10,2020-06-16,sikjalpha
Japan,2020-06-15,929,2020-06-16,sikjalpha
Jordan,2020-06-15,9,2020-06-16,sikjalpha
Kazakhstan,2020-06-15,81,2020-06-16,sikjalpha
Kenya,2020-06-15,104,2020-06-16,sikjalpha
South Korea,2020-06-15,278,2020-06-16,sikjalpha
Kuwait,2020-06-15,298,2020-06-16,sikjalpha
Kyrgyzstan,2020-06-15,28,2020-06-16,sikjalpha
Latvia,2020-06-15,28,2020-06-16,sikjalpha
Lebanon,2020-06-15,32,2020-06-16,sikjalpha
Liberia,2020-06-15,33,2020-06-16,sikjalpha
Liechtenstein,2020-06-15,1,2020-06-16,sikjalpha
Lithuania,2020-06-15,76,2020-06-16,sikjalpha
Luxembourg,2020-06-15,110,2020-06-16,sikjalpha
Madagascar,2020-06-15,10,2020-06-16,sikjalpha
Malaysia,2020-06-15,121,2020-06-16,sikjalpha
Maldives,2020-06-15,8,2020-06-16,sikjalpha
Malta,2020-06-15,9,2020-06-16,sikjalpha
Mauritania,2020-06-15,91,2020-06-16,sikjalpha
Mauritius,2020-06-15,10,2020-06-16,sikjalpha
Mexico,2020-06-15,17580,2020-06-16,sikjalpha
Moldova,2020-06-15,411,2020-06-16,sikjalpha
