location_name,date,deaths,model_date,model
Afghanistan,2020-07-23,1211,2020-07-24,sikjalpha
Albania,2020-07-23,123,2020-07-24,sikjalpha
Algeria,2020-07-23,1124,2020-07-24,sikjalpha
Andorra,2020-07-23,52,2020-07-24,sikjalpha
Angola,2020-07-23,33,2020-07-24,sikjalpha
Antigua and Barbuda,2020-07-23,3,2020-07-24,sikjalpha
Argentina,2020-07-23,2702,2020-07-24,sikjalpha
Armenia,2020-07-23,688,2020-07-24,sikjalpha
Australia,2020-07-23,139,2020-07-24,sikjalpha
Austria,2020-07-23,711,2020-07-24,sikjalpha
Azerbaijan,2020-07-23,391,2020-07-24,sikjalpha
The Bahamas,2020-07-23,11,2020-07-24,sikjalpha
Bahrain,2020-07-23,134,2020-07-24,sikjalpha
Bangladesh,2020-07-23,2801,2020-07-24,sikjalpha
Barbados,2020-07-23,7,2020-07-24,sikjalpha
Belarus,2020-07-23,519,2020-07-24,sikjalpha
Belgium,2020-07-23,9812,2020-07-24,sikjalpha
Benin,2020-07-23,34,2020-07-24,sikjalpha
Bhutan,2020-07-23,0,2020-07-24,sikjalpha
Bolivia,2020-07-23,2407,2020-07-24,sikjalpha
Bosnia and Herzegovina,2020-07-23,274,2020-07-24,sikjalpha
Brazil,2020-07-23,84082,2020-07-24,sikjalpha
Brunei,2020-07-23,3,2020-07-24,sikjalpha
Bulgaria,2020-07-23,329,2020-07-24,sikjalpha
Burkina Faso,2020-07-23,53,2020-07-24,sikjalpha
Cape Verde,2020-07-23,21,2020-07-24,sikjalpha
Cambodia,2020-07-23,0,2020-07-24,sikjalpha
Cameroon,2020-07-23,382,2020-07-24,sikjalpha
Canada,2020-07-23,8919,2020-07-24,sikjalpha
Central African Republic,2020-07-23,58,2020-07-24,sikjalpha
Chad,2020-07-23,75,2020-07-24,sikjalpha
Chile,2020-07-23,8838,2020-07-24,sikjalpha
China,2020-07-23,4649,2020-07-24,sikjalpha
Colombia,2020-07-23,7688,2020-07-24,sikjalpha
Congo,2020-07-23,50,2020-07-24,sikjalpha
Democratic Republic of the Congo,2020-07-23,201,2020-07-24,sikjalpha
Costa Rica,2020-07-23,80,2020-07-24,sikjalpha
Cote d'Ivoire,2020-07-23,93,2020-07-24,sikjalpha
Croatia,2020-07-23,128,2020-07-24,sikjalpha
Diamond Princess,2020-07-23,13,2020-07-24,sikjalpha
Cuba,2020-07-23,87,2020-07-24,sikjalpha
Cyprus,2020-07-23,19,2020-07-24,sikjalpha
Czech Republic,2020-07-23,365,2020-07-24,sikjalpha
Denmark,2020-07-23,612,2020-07-24,sikjalpha
Djibouti,2020-07-23,58,2020-07-24,sikjalpha
Dominican Republic,2020-07-23,1006,2020-07-24,sikjalpha
Ecuador,2020-07-23,5439,2020-07-24,sikjalpha
Egypt,2020-07-23,4480,2020-07-24,sikjalpha
El Salvador,2020-07-23,372,2020-07-24,sikjalpha
Equatorial Guinea,2020-07-23,51,2020-07-24,sikjalpha
Eritrea,2020-07-23,0,2020-07-24,sikjalpha
Estonia,2020-07-23,69,2020-07-24,sikjalpha
Eswatini,2020-07-23,28,2020-07-24,sikjalpha
Ethiopia,2020-07-23,197,2020-07-24,sikjalpha
Fiji,2020-07-23,0,2020-07-24,sikjalpha
Finland,2020-07-23,328,2020-07-24,sikjalpha
France,2020-07-23,30185,2020-07-24,sikjalpha
Gabon,2020-07-23,47,2020-07-24,sikjalpha
The Gambia,2020-07-23,5,2020-07-24,sikjalpha
Georgia (Country),2020-07-23,16,2020-07-24,sikjalpha
Germany,2020-07-23,9110,2020-07-24,sikjalpha
Ghana,2020-07-23,153,2020-07-24,sikjalpha
Greece,2020-07-23,201,2020-07-24,sikjalpha
Guatemala,2020-07-23,1632,2020-07-24,sikjalpha
Guinea,2020-07-23,42,2020-07-24,sikjalpha
Guyana,2020-07-23,19,2020-07-24,sikjalpha
Haiti,2020-07-23,154,2020-07-24,sikjalpha
Holy See,2020-07-23,0,2020-07-24,sikjalpha
Honduras,2020-07-23,1011,2020-07-24,sikjalpha
Hungary,2020-07-23,596,2020-07-24,sikjalpha
Iceland,2020-07-23,10,2020-07-24,sikjalpha
India,2020-07-23,30601,2020-07-24,sikjalpha
Indonesia,2020-07-23,4576,2020-07-24,sikjalpha
Iran,2020-07-23,15074,2020-07-24,sikjalpha
Iraq,2020-07-23,4122,2020-07-24,sikjalpha
Ireland,2020-07-23,1763,2020-07-24,sikjalpha
Israel,2020-07-23,442,2020-07-24,sikjalpha
Italy,2020-07-23,35092,2020-07-24,sikjalpha
Jamaica,2020-07-23,10,2020-07-24,sikjalpha
Japan,2020-07-23,992,2020-07-24,sikjalpha
Jordan,2020-07-23,11,2020-07-24,sikjalpha
Kazakhstan,2020-07-23,585,2020-07-24,sikjalpha
Kenya,2020-07-23,263,2020-07-24,sikjalpha
South Korea,2020-07-23,298,2020-07-24,sikjalpha
Kuwait,2020-07-23,421,2020-07-24,sikjalpha
Kyrgyzstan,2020-07-23,1211,2020-07-24,sikjalpha
Latvia,2020-07-23,31,2020-07-24,sikjalpha
Lebanon,2020-07-23,43,2020-07-24,sikjalpha
Liberia,2020-07-23,71,2020-07-24,sikjalpha
Liechtenstein,2020-07-23,1,2020-07-24,sikjalpha
Lithuania,2020-07-23,80,2020-07-24,sikjalpha
Luxembourg,2020-07-23,112,2020-07-24,sikjalpha
Madagascar,2020-07-23,70,2020-07-24,sikjalpha
Malaysia,2020-07-23,123,2020-07-24,sikjalpha
Maldives,2020-07-23,15,2020-07-24,sikjalpha
Malta,2020-07-23,9,2020-07-24,sikjalpha
Mauritania,2020-07-23,156,2020-07-24,sikjalpha
Mauritius,2020-07-23,10,2020-07-24,sikjalpha
Mexico,2020-07-23,41908,2020-07-24,sikjalpha
Moldova,2020-07-23,719,2020-07-24,sikjalpha
Monaco,2020-07-23,4,2020-07-24,sikjalpha
Mongolia,2020-07-23,0,2020-07-24,sikjalpha
Montenegro,2020-07-23,40,2020-07-24,sikjalpha
Morocco,2020-07-23,292,2020-07-24,sikjalpha
Namibia,2020-07-23,7,2020-07-24,sikjalpha
Nepal,2020-07-23,43,2020-07-24,sikjalpha
Netherlands,2020-07-23,6158,2020-07-24,sikjalpha
New Zealand,2020-07-23,22,2020-07-24,sikjalpha
Nicaragua,2020-07-23,108,2020-07-24,sikjalpha
Niger,2020-07-23,69,2020-07-24,sikjalpha
Nigeria,2020-07-23,833,2020-07-24,sikjalpha
Macedonia,2020-07-23,445,2020-07-24,sikjalpha
Norway,2020-07-23,255,2020-07-24,sikjalpha
Oman,2020-07-23,355,2020-07-24,sikjalpha
Pakistan,2020-07-23,5763,2020-07-24,sikjalpha
Panama,2020-07-23,1209,2020-07-24,sikjalpha
Papua New Guinea,2020-07-23,0,2020-07-24,sikjalpha
Paraguay,2020-07-23,36,2020-07-24,sikjalpha
Peru,2020-07-23,17654,2020-07-24,sikjalpha
Philippines,2020-07-23,1871,2020-07-24,sikjalpha
Poland,2020-07-23,1651,2020-07-24,sikjalpha
Portugal,2020-07-23,1705,2020-07-24,sikjalpha
Qatar,2020-07-23,164,2020-07-24,sikjalpha
Romania,2020-07-23,2126,2020-07-24,sikjalpha
Russian Federation,2020-07-23,12873,2020-07-24,sikjalpha
Rwanda,2020-07-23,5,2020-07-24,sikjalpha
Saint Lucia,2020-07-23,0,2020-07-24,sikjalpha
Saint Vincent and the Grenadines,2020-07-23,0,2020-07-24,sikjalpha
San Marino,2020-07-23,42,2020-07-24,sikjalpha
Saudi Arabia,2020-07-23,2635,2020-07-24,sikjalpha
Senegal,2020-07-23,178,2020-07-24,sikjalpha
Serbia,2020-07-23,508,2020-07-24,sikjalpha
Seychelles,2020-07-23,0,2020-07-24,sikjalpha
Singapore,2020-07-23,27,2020-07-24,sikjalpha
Slovakia,2020-07-23,28,2020-07-24,sikjalpha
Slovenia,2020-07-23,115,2020-07-24,sikjalpha
Somalia,2020-07-23,93,2020-07-24,sikjalpha
South Africa,2020-07-23,6093,2020-07-24,sikjalpha
Spain,2020-07-23,28429,2020-07-24,sikjalpha
Sri Lanka,2020-07-23,11,2020-07-24,sikjalpha
Sudan,2020-07-23,708,2020-07-24,sikjalpha
Suriname,2020-07-23,23,2020-07-24,sikjalpha
Sweden,2020-07-23,5676,2020-07-24,sikjalpha
Switzerland,2020-07-23,1975,2020-07-24,sikjalpha
Tanzania,2020-07-23,21,2020-07-24,sikjalpha
Thailand,2020-07-23,58,2020-07-24,sikjalpha
Togo,2020-07-23,16,2020-07-24,sikjalpha
Trinidad and Tobago,2020-07-23,8,2020-07-24,sikjalpha
Tunisia,2020-07-23,50,2020-07-24,sikjalpha
Turkey,2020-07-23,5563,2020-07-24,sikjalpha
Uganda,2020-07-23,0,2020-07-24,sikjalpha
Ukraine,2020-07-23,1570,2020-07-24,sikjalpha
United Arab Emirates,2020-07-23,342,2020-07-24,sikjalpha
United Kingdom,2020-07-23,45639,2020-07-24,sikjalpha
Uruguay,2020-07-23,34,2020-07-24,sikjalpha
United States,2020-07-23,144430,2020-07-24,sikjalpha
Uzbekistan,2020-07-23,103,2020-07-24,sikjalpha
Venezuela,2020-07-23,129,2020-07-24,sikjalpha
Vietnam,2020-07-23,0,2020-07-24,sikjalpha
Zambia,2020-07-23,134,2020-07-24,sikjalpha
Zimbabwe,2020-07-23,28,2020-07-24,sikjalpha
Dominica,2020-07-23,0,2020-07-24,sikjalpha
Grenada,2020-07-23,0,2020-07-24,sikjalpha
Mozambique,2020-07-23,11,2020-07-24,sikjalpha
Syria,2020-07-23,35,2020-07-24,sikjalpha
Timor-Leste,2020-07-23,0,2020-07-24,sikjalpha
Belize,2020-07-23,2,2020-07-24,sikjalpha
Laos,2020-07-23,0,2020-07-24,sikjalpha
Libya,2020-07-23,56,2020-07-24,sikjalpha
West Bank and Gaza,2020-07-23,67,2020-07-24,sikjalpha
Guinea-Bissau,2020-07-23,26,2020-07-24,sikjalpha
Mali,2020-07-23,123,2020-07-24,sikjalpha
Saint Kitts and Nevis,2020-07-23,0,2020-07-24,sikjalpha
Kosovo,2020-07-23,158,2020-07-24,sikjalpha
Myanmar,2020-07-23,6,2020-07-24,sikjalpha
MS Zaandam,2020-07-23,2,2020-07-24,sikjalpha
Botswana,2020-07-23,1,2020-07-24,sikjalpha
Burundi,2020-07-23,1,2020-07-24,sikjalpha
Sierra Leone,2020-07-23,66,2020-07-24,sikjalpha
Malawi,2020-07-23,76,2020-07-24,sikjalpha
South Sudan,2020-07-23,45,2020-07-24,sikjalpha
Western Sahara,2020-07-23,1,2020-07-24,sikjalpha
Sao Tome and Principe,2020-07-23,14,2020-07-24,sikjalpha
Yemen,2020-07-23,461,2020-07-24,sikjalpha
Washington,2020-07-23,1482,2020-07-24,sikjalpha
Illinois,2020-07-23,7560,2020-07-24,sikjalpha
California,2020-07-23,8201,2020-07-24,sikjalpha
Arizona,2020-07-23,3063,2020-07-24,sikjalpha
Massachusetts,2020-07-23,8484,2020-07-24,sikjalpha
Wisconsin,2020-07-23,878,2020-07-24,sikjalpha
Texas,2020-07-23,4636,2020-07-24,sikjalpha
Nebraska,2020-07-23,316,2020-07-24,sikjalpha
Utah,2020-07-23,267,2020-07-24,sikjalpha
Oregon,2020-07-23,273,2020-07-24,sikjalpha
Florida,2020-07-23,5518,2020-07-24,sikjalpha
New York,2020-07-23,32594,2020-07-24,sikjalpha
Rhode Island,2020-07-23,1001,2020-07-24,sikjalpha
Georgia,2020-07-23,3361,2020-07-24,sikjalpha
New Hampshire,2020-07-23,405,2020-07-24,sikjalpha
North Carolina,2020-07-23,1756,2020-07-24,sikjalpha
New Jersey,2020-07-23,15730,2020-07-24,sikjalpha
Colorado,2020-07-23,1786,2020-07-24,sikjalpha
Maryland,2020-07-23,3409,2020-07-24,sikjalpha
Nevada,2020-07-23,709,2020-07-24,sikjalpha
Tennessee,2020-07-23,925,2020-07-24,sikjalpha
Hawaii,2020-07-23,26,2020-07-24,sikjalpha
Indiana,2020-07-23,2880,2020-07-24,sikjalpha
Kentucky,2020-07-23,684,2020-07-24,sikjalpha
Minnesota,2020-07-23,1601,2020-07-24,sikjalpha
Oklahoma,2020-07-23,477,2020-07-24,sikjalpha
Pennsylvania,2020-07-23,7093,2020-07-24,sikjalpha
South Carolina,2020-07-23,1334,2020-07-24,sikjalpha
District of Columbia,2020-07-23,581,2020-07-24,sikjalpha
Kansas,2020-07-23,322,2020-07-24,sikjalpha
Missouri,2020-07-23,1189,2020-07-24,sikjalpha
Vermont,2020-07-23,56,2020-07-24,sikjalpha
