location_name,date,deaths,model_date,model
Afghanistan,2020-05-19,178,2020-05-20,sikjalpha
Albania,2020-05-19,31,2020-05-20,sikjalpha
Algeria,2020-05-19,561,2020-05-20,sikjalpha
Andorra,2020-05-19,51,2020-05-20,sikjalpha
Angola,2020-05-19,3,2020-05-20,sikjalpha
Antigua and Barbuda,2020-05-19,3,2020-05-20,sikjalpha
Argentina,2020-05-19,393,2020-05-20,sikjalpha
Armenia,2020-05-19,64,2020-05-20,sikjalpha
Australia,2020-05-19,100,2020-05-20,sikjalpha
Austria,2020-05-19,632,2020-05-20,sikjalpha
Azerbaijan,2020-05-19,41,2020-05-20,sikjalpha
The Bahamas,2020-05-19,11,2020-05-20,sikjalpha
Bahrain,2020-05-19,12,2020-05-20,sikjalpha
Bangladesh,2020-05-19,370,2020-05-20,sikjalpha
Barbados,2020-05-19,7,2020-05-20,sikjalpha
Belarus,2020-05-19,175,2020-05-20,sikjalpha
Belgium,2020-05-19,9108,2020-05-20,sikjalpha
Benin,2020-05-19,2,2020-05-20,sikjalpha
Bhutan,2020-05-19,0,2020-05-20,sikjalpha
Bolivia,2020-05-19,189,2020-05-20,sikjalpha
Bosnia and Herzegovina,2020-05-19,134,2020-05-20,sikjalpha
Brazil,2020-05-19,17983,2020-05-20,sikjalpha
Brunei,2020-05-19,1,2020-05-20,sikjalpha
Bulgaria,2020-05-19,112,2020-05-20,sikjalpha
Burkina Faso,2020-05-19,51,2020-05-20,sikjalpha
Cape Verde,2020-05-19,3,2020-05-20,sikjalpha
Cambodia,2020-05-19,0,2020-05-20,sikjalpha
Cameroon,2020-05-19,140,2020-05-20,sikjalpha
Canada,2020-05-19,6028,2020-05-20,sikjalpha
Central African Republic,2020-05-19,0,2020-05-20,sikjalpha
Chad,2020-05-19,56,2020-05-20,sikjalpha
Chile,2020-05-19,509,2020-05-20,sikjalpha
China,2020-05-19,4638,2020-05-20,sikjalpha
Colombia,2020-05-19,613,2020-05-20,sikjalpha
Congo,2020-05-19,15,2020-05-20,sikjalpha
Democratic Republic of the Congo,2020-05-19,61,2020-05-20,sikjalpha
Costa Rica,2020-05-19,10,2020-05-20,sikjalpha
Cote d'Ivoire,2020-05-19,28,2020-05-20,sikjalpha
Croatia,2020-05-19,96,2020-05-20,sikjalpha
Diamond Princess,2020-05-19,13,2020-05-20,sikjalpha
Cuba,2020-05-19,79,2020-05-20,sikjalpha
Cyprus,2020-05-19,17,2020-05-20,sikjalpha
Czech Republic,2020-05-19,302,2020-05-20,sikjalpha
Denmark,2020-05-19,551,2020-05-20,sikjalpha
Djibouti,2020-05-19,7,2020-05-20,sikjalpha
Dominican Republic,2020-05-19,441,2020-05-20,sikjalpha
Ecuador,2020-05-19,2839,2020-05-20,sikjalpha
Egypt,2020-05-19,659,2020-05-20,sikjalpha
El Salvador,2020-05-19,30,2020-05-20,sikjalpha
Equatorial Guinea,2020-05-19,7,2020-05-20,sikjalpha
Eritrea,2020-05-19,0,2020-05-20,sikjalpha
Estonia,2020-05-19,64,2020-05-20,sikjalpha
Eswatini,2020-05-19,2,2020-05-20,sikjalpha
Ethiopia,2020-05-19,5,2020-05-20,sikjalpha
Fiji,2020-05-19,0,2020-05-20,sikjalpha
Finland,2020-05-19,301,2020-05-20,sikjalpha
France,2020-05-19,28025,2020-05-20,sikjalpha
Gabon,2020-05-19,12,2020-05-20,sikjalpha
The Gambia,2020-05-19,1,2020-05-20,sikjalpha
Georgia (Country),2020-05-19,12,2020-05-20,sikjalpha
Germany,2020-05-19,8081,2020-05-20,sikjalpha
Ghana,2020-05-19,31,2020-05-20,sikjalpha
Greece,2020-05-19,165,2020-05-20,sikjalpha
Guatemala,2020-05-19,43,2020-05-20,sikjalpha
Guinea,2020-05-19,18,2020-05-20,sikjalpha
Guyana,2020-05-19,10,2020-05-20,sikjalpha
Haiti,2020-05-19,21,2020-05-20,sikjalpha
Holy See,2020-05-19,0,2020-05-20,sikjalpha
Honduras,2020-05-19,147,2020-05-20,sikjalpha
Hungary,2020-05-19,467,2020-05-20,sikjalpha
Iceland,2020-05-19,10,2020-05-20,sikjalpha
India,2020-05-19,3302,2020-05-20,sikjalpha
Indonesia,2020-05-19,1221,2020-05-20,sikjalpha
Iran,2020-05-19,7119,2020-05-20,sikjalpha
Iraq,2020-05-19,131,2020-05-20,sikjalpha
Ireland,2020-05-19,1561,2020-05-20,sikjalpha
Israel,2020-05-19,278,2020-05-20,sikjalpha
Italy,2020-05-19,32169,2020-05-20,sikjalpha
Jamaica,2020-05-19,9,2020-05-20,sikjalpha
Japan,2020-05-19,805,2020-05-20,sikjalpha
Jordan,2020-05-19,9,2020-05-20,sikjalpha
Kazakhstan,2020-05-19,35,2020-05-20,sikjalpha
Kenya,2020-05-19,50,2020-05-20,sikjalpha
South Korea,2020-05-19,263,2020-05-20,sikjalpha
Kuwait,2020-05-19,121,2020-05-20,sikjalpha
Kyrgyzstan,2020-05-19,14,2020-05-20,sikjalpha
Latvia,2020-05-19,21,2020-05-20,sikjalpha
Lebanon,2020-05-19,26,2020-05-20,sikjalpha
Liberia,2020-05-19,23,2020-05-20,sikjalpha
Liechtenstein,2020-05-19,1,2020-05-20,sikjalpha
Lithuania,2020-05-19,60,2020-05-20,sikjalpha
Luxembourg,2020-05-19,109,2020-05-20,sikjalpha
Madagascar,2020-05-19,2,2020-05-20,sikjalpha
Malaysia,2020-05-19,114,2020-05-20,sikjalpha
Maldives,2020-05-19,4,2020-05-20,sikjalpha
Malta,2020-05-19,6,2020-05-20,sikjalpha
Mauritania,2020-05-19,4,2020-05-20,sikjalpha
Mauritius,2020-05-19,10,2020-05-20,sikjalpha
Mexico,2020-05-19,5666,2020-05-20,sikjalpha
Moldova,2020-05-19,221,2020-05-20,sikjalpha
Monaco,2020-05-19,4,2020-05-20,sikjalpha
Mongolia,2020-05-19,0,2020-05-20,sikjalpha
Montenegro,2020-05-19,9,2020-05-20,sikjalpha
Morocco,2020-05-19,193,2020-05-20,sikjalpha
Namibia,2020-05-19,0,2020-05-20,sikjalpha
Nepal,2020-05-19,2,2020-05-20,sikjalpha
Netherlands,2020-05-19,5734,2020-05-20,sikjalpha
New Zealand,2020-05-19,21,2020-05-20,sikjalpha
Nicaragua,2020-05-19,17,2020-05-20,sikjalpha
Niger,2020-05-19,55,2020-05-20,sikjalpha
Nigeria,2020-05-19,192,2020-05-20,sikjalpha
Macedonia,2020-05-19,106,2020-05-20,sikjalpha
Norway,2020-05-19,233,2020-05-20,sikjalpha
Oman,2020-05-19,27,2020-05-20,sikjalpha
Pakistan,2020-05-19,985,2020-05-20,sikjalpha
Panama,2020-05-19,281,2020-05-20,sikjalpha
Papua New Guinea,2020-05-19,0,2020-05-20,sikjalpha
Paraguay,2020-05-19,11,2020-05-20,sikjalpha
Peru,2020-05-19,2914,2020-05-20,sikjalpha
Philippines,2020-05-19,837,2020-05-20,sikjalpha
Poland,2020-05-19,948,2020-05-20,sikjalpha
Portugal,2020-05-19,1247,2020-05-20,sikjalpha
Qatar,2020-05-19,15,2020-05-20,sikjalpha
Romania,2020-05-19,1137,2020-05-20,sikjalpha
Russian Federation,2020-05-19,2837,2020-05-20,sikjalpha
Rwanda,2020-05-19,0,2020-05-20,sikjalpha
Saint Lucia,2020-05-19,0,2020-05-20,sikjalpha
Saint Vincent and the Grenadines,2020-05-19,0,2020-05-20,sikjalpha
San Marino,2020-05-19,41,2020-05-20,sikjalpha
Saudi Arabia,2020-05-19,329,2020-05-20,sikjalpha
Senegal,2020-05-19,30,2020-05-20,sikjalpha
Serbia,2020-05-19,234,2020-05-20,sikjalpha
Seychelles,2020-05-19,0,2020-05-20,sikjalpha
Singapore,2020-05-19,22,2020-05-20,sikjalpha
Slovakia,2020-05-19,28,2020-05-20,sikjalpha
Slovenia,2020-05-19,104,2020-05-20,sikjalpha
