location_name,date,deaths,model_date,model
Afghanistan,2020-07-02,807,2020-07-03,sikjalpha
Albania,2020-07-02,69,2020-07-03,sikjalpha
Algeria,2020-07-02,928,2020-07-03,sikjalpha
Andorra,2020-07-02,52,2020-07-03,sikjalpha
Angola,2020-07-02,17,2020-07-03,sikjalpha
Antigua and Barbuda,2020-07-02,3,2020-07-03,sikjalpha
Argentina,2020-07-02,1385,2020-07-03,sikjalpha
Armenia,2020-07-02,459,2020-07-03,sikjalpha
Australia,2020-07-02,104,2020-07-03,sikjalpha
Austria,2020-07-02,705,2020-07-03,sikjalpha
Azerbaijan,2020-07-02,228,2020-07-03,sikjalpha
The Bahamas,2020-07-02,11,2020-07-03,sikjalpha
Bahrain,2020-07-02,94,2020-07-03,sikjalpha
Bangladesh,2020-07-02,1926,2020-07-03,sikjalpha
Barbados,2020-07-02,7,2020-07-03,sikjalpha
Belarus,2020-07-02,405,2020-07-03,sikjalpha
Belgium,2020-07-02,9761,2020-07-03,sikjalpha
Benin,2020-07-02,21,2020-07-03,sikjalpha
Bhutan,2020-07-02,0,2020-07-03,sikjalpha
Bolivia,2020-07-02,1271,2020-07-03,sikjalpha
Bosnia and Herzegovina,2020-07-02,189,2020-07-03,sikjalpha
Brazil,2020-07-02,61884,2020-07-03,sikjalpha
Brunei,2020-07-02,3,2020-07-03,sikjalpha
Bulgaria,2020-07-02,232,2020-07-03,sikjalpha
Burkina Faso,2020-07-02,53,2020-07-03,sikjalpha
Cape Verde,2020-07-02,15,2020-07-03,sikjalpha
Cambodia,2020-07-02,0,2020-07-03,sikjalpha
Cameroon,2020-07-02,313,2020-07-03,sikjalpha
Canada,2020-07-02,8700,2020-07-03,sikjalpha
Central African Republic,2020-07-02,47,2020-07-03,sikjalpha
Chad,2020-07-02,74,2020-07-03,sikjalpha
Chile,2020-07-02,5920,2020-07-03,sikjalpha
China,2020-07-02,4641,2020-07-03,sikjalpha
Colombia,2020-07-02,3641,2020-07-03,sikjalpha
Congo,2020-07-02,41,2020-07-03,sikjalpha
Democratic Republic of the Congo,2020-07-02,176,2020-07-03,sikjalpha
Costa Rica,2020-07-02,18,2020-07-03,sikjalpha
Cote d'Ivoire,2020-07-02,68,2020-07-03,sikjalpha
Croatia,2020-07-02,110,2020-07-03,sikjalpha
Diamond Princess,2020-07-02,13,2020-07-03,sikjalpha
Cuba,2020-07-02,86,2020-07-03,sikjalpha
Cyprus,2020-07-02,19,2020-07-03,sikjalpha
Czech Republic,2020-07-02,353,2020-07-03,sikjalpha
Denmark,2020-07-02,606,2020-07-03,sikjalpha
Djibouti,2020-07-02,55,2020-07-03,sikjalpha
Dominican Republic,2020-07-02,765,2020-07-03,sikjalpha
Ecuador,2020-07-02,4639,2020-07-03,sikjalpha
Egypt,2020-07-02,3120,2020-07-03,sikjalpha
El Salvador,2020-07-02,191,2020-07-03,sikjalpha
Equatorial Guinea,2020-07-02,51,2020-07-03,sikjalpha
Eritrea,2020-07-02,0,2020-07-03,sikjalpha
Estonia,2020-07-02,69,2020-07-03,sikjalpha
Eswatini,2020-07-02,11,2020-07-03,sikjalpha
Ethiopia,2020-07-02,103,2020-07-03,sikjalpha
Fiji,2020-07-02,0,2020-07-03,sikjalpha
Finland,2020-07-02,328,2020-07-03,sikjalpha
France,2020-07-02,29878,2020-07-03,sikjalpha
Gabon,2020-07-02,42,2020-07-03,sikjalpha
The Gambia,2020-07-02,2,2020-07-03,sikjalpha
Georgia (Country),2020-07-02,15,2020-07-03,sikjalpha
Germany,2020-07-02,9006,2020-07-03,sikjalpha
Ghana,2020-07-02,117,2020-07-03,sikjalpha
Greece,2020-07-02,192,2020-07-03,sikjalpha
Guatemala,2020-07-02,843,2020-07-03,sikjalpha
Guinea,2020-07-02,33,2020-07-03,sikjalpha
Guyana,2020-07-02,14,2020-07-03,sikjalpha
Haiti,2020-07-02,110,2020-07-03,sikjalpha
Holy See,2020-07-02,0,2020-07-03,sikjalpha
Honduras,2020-07-02,591,2020-07-03,sikjalpha
Hungary,2020-07-02,587,2020-07-03,sikjalpha
Iceland,2020-07-02,10,2020-07-03,sikjalpha
India,2020-07-02,18213,2020-07-03,sikjalpha
Indonesia,2020-07-02,2987,2020-07-03,sikjalpha
Iran,2020-07-02,11106,2020-07-03,sikjalpha
Iraq,2020-07-02,2160,2020-07-03,sikjalpha
Ireland,2020-07-02,1738,2020-07-03,sikjalpha
