location_name,date,deaths,model_date,model
Afghanistan,2020-09-03,1409,2020-09-04,sikjalpha
Albania,2020-09-03,301,2020-09-04,sikjalpha
Algeria,2020-09-03,1529,2020-09-04,sikjalpha
Andorra,2020-09-03,53,2020-09-04,sikjalpha
Angola,2020-09-03,113,2020-09-04,sikjalpha
Antigua and Barbuda,2020-09-03,3,2020-09-04,sikjalpha
Argentina,2020-09-03,9361,2020-09-04,sikjalpha
Armenia,2020-09-03,887,2020-09-04,sikjalpha
Australia,2020-09-03,737,2020-09-04,sikjalpha
Austria,2020-09-03,735,2020-09-04,sikjalpha
Azerbaijan,2020-09-03,541,2020-09-04,sikjalpha
The Bahamas,2020-09-03,50,2020-09-04,sikjalpha
Bahrain,2020-09-03,190,2020-09-04,sikjalpha
Bangladesh,2020-09-03,4383,2020-09-04,sikjalpha
Barbados,2020-09-03,7,2020-09-04,sikjalpha
Belarus,2020-09-03,696,2020-09-04,sikjalpha
Belgium,2020-09-03,9899,2020-09-04,sikjalpha
Benin,2020-09-03,40,2020-09-04,sikjalpha
Bhutan,2020-09-03,0,2020-09-04,sikjalpha
Bolivia,2020-09-03,5288,2020-09-04,sikjalpha
Bosnia and Herzegovina,2020-09-03,636,2020-09-04,sikjalpha
Brazil,2020-09-03,124614,2020-09-04,sikjalpha
Brunei,2020-09-03,3,2020-09-04,sikjalpha
Bulgaria,2020-09-03,658,2020-09-04,sikjalpha
Burkina Faso,2020-09-03,55,2020-09-04,sikjalpha
Cape Verde,2020-09-03,41,2020-09-04,sikjalpha
Cambodia,2020-09-03,0,2020-09-04,sikjalpha
Cameroon,2020-09-03,415,2020-09-04,sikjalpha
Canada,2020-09-03,9189,2020-09-04,sikjalpha
Central African Republic,2020-09-03,62,2020-09-04,sikjalpha
Chad,2020-09-03,77,2020-09-04,sikjalpha
Chile,2020-09-03,11422,2020-09-04,sikjalpha
China,2020-09-03,4728,2020-09-04,sikjalpha
Colombia,2020-09-03,20618,2020-09-04,sikjalpha
Congo,2020-09-03,102,2020-09-04,sikjalpha
Democratic Republic of the Congo,2020-09-03,259,2020-09-04,sikjalpha
Costa Rica,2020-09-03,460,2020-09-04,sikjalpha
Cote d'Ivoire,2020-09-03,119,2020-09-04,sikjalpha
Croatia,2020-09-03,194,2020-09-04,sikjalpha
Diamond Princess,2020-09-03,13,2020-09-04,sikjalpha
Cuba,2020-09-03,100,2020-09-04,sikjalpha
Cyprus,2020-09-03,21,2020-09-04,sikjalpha
Czech Republic,2020-09-03,426,2020-09-04,sikjalpha
Denmark,2020-09-03,626,2020-09-04,sikjalpha
Djibouti,2020-09-03,60,2020-09-04,sikjalpha
Dominican Republic,2020-09-03,1801,2020-09-04,sikjalpha
Ecuador,2020-09-03,6648,2020-09-04,sikjalpha
Egypt,2020-09-03,5479,2020-09-04,sikjalpha
El Salvador,2020-09-03,739,2020-09-04,sikjalpha
Equatorial Guinea,2020-09-03,83,2020-09-04,sikjalpha
Eritrea,2020-09-03,0,2020-09-04,sikjalpha
Estonia,2020-09-03,64,2020-09-04,sikjalpha
Eswatini,2020-09-03,94,2020-09-04,sikjalpha
Ethiopia,2020-09-03,856,2020-09-04,sikjalpha
Fiji,2020-09-03,2,2020-09-04,sikjalpha
Finland,2020-09-03,336,2020-09-04,sikjalpha
France,2020-09-03,30712,2020-09-04,sikjalpha
Gabon,2020-09-03,53,2020-09-04,sikjalpha
The Gambia,2020-09-03,99,2020-09-04,sikjalpha
Georgia (Country),2020-09-03,19,2020-09-04,sikjalpha
Germany,2020-09-03,9322,2020-09-04,sikjalpha
Ghana,2020-09-03,280,2020-09-04,sikjalpha
Greece,2020-09-03,278,2020-09-04,sikjalpha
Guatemala,2020-09-03,2804,2020-09-04,sikjalpha
Guinea,2020-09-03,61,2020-09-04,sikjalpha
Guyana,2020-09-03,44,2020-09-04,sikjalpha
Haiti,2020-09-03,210,2020-09-04,sikjalpha
Holy See,2020-09-03,0,2020-09-04,sikjalpha
Honduras,2020-09-03,1954,2020-09-04,sikjalpha
Hungary,2020-09-03,620,2020-09-04,sikjalpha
Iceland,2020-09-03,10,2020-09-04,sikjalpha
India,2020-09-03,68472,2020-09-04,sikjalpha
Indonesia,2020-09-03,7750,2020-09-04,sikjalpha
Iran,2020-09-03,21926,2020-09-04,sikjalpha
Iraq,2020-09-03,7275,2020-09-04,sikjalpha
Ireland,2020-09-03,1777,2020-09-04,sikjalpha
Israel,2020-09-03,985,2020-09-04,sikjalpha
Italy,2020-09-03,35507,2020-09-04,sikjalpha
Jamaica,2020-09-03,29,2020-09-04,sikjalpha
Japan,2020-09-03,1334,2020-09-04,sikjalpha
Jordan,2020-09-03,15,2020-09-04,sikjalpha
Kazakhstan,2020-09-03,1588,2020-09-04,sikjalpha
Kenya,2020-09-03,585,2020-09-04,sikjalpha
South Korea,2020-09-03,331,2020-09-04,sikjalpha
Kuwait,2020-09-03,536,2020-09-04,sikjalpha
