,0,1,2
0,100.0,0.1,100000.0
1,1070.125891438183,0.10022458990492938,
2,-2.9842584653760195e-26,3.425047381855068,63264.63046766895
3,415.0729449514111,0.08702816687962121,
4,100.0,0.1,100000.0
5,1070.125891438183,0.10022458990492938,
6,-1.6021666436856514e-23,2.713569256516769,61048.3122858731
7,429.54236148355153,0.08858216041708954,
8,100.0,0.1,100000.0
9,1070.125891438183,0.10022458990492938,
10,-1.625205104723537e-28,3.6801636757161114,61495.91750094602
11,393.65339098057666,0.0862058632110715,
12,100.0,0.1,100000.0
13,1070.125891438183,0.10022458990492938,
14,-7.950520390178448e-26,3.3781038275579256,64873.12396234578
15,532.2345428477491,0.09130177395072676,
16,100.0,0.1,100000.0
17,1070.125891438183,0.10022458990492938,
18,-3.481866729624766e-22,2.9634892722686077,62210.674305780834
19,176.68897559051985,0.07531957821770824,
