,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
2668,7,2021/2/28,0,1631169.0,1639679.0,1648174.0,1656699.0,1665103.0,1673470.0,1681682.0,1689692.0,1698005.0,1706559.0,1715162.0,1723470.0,1731558.0,1739360.0,1746953.0,1631527.0880691025,1639945.5646026852,1648414.473443878,1656933.8660281508,1665503.8012071685,1674124.3450758553,1682795.5708027824,1691517.5584640012,1700290.3948804007,1709114.173458649,1717988.994035779,1726914.9627274645,1735892.1917800126,1744920.799426058,1754000.90974402
2669,7,2021/3/1,0,1639679.0,1648174.0,1656699.0,1665103.0,1673470.0,1681682.0,1689692.0,1698005.0,1706559.0,1715162.0,1723470.0,1731558.0,1739360.0,1746953.0,1754933.0,1639526.1785947871,1647931.0058068407,1656383.6765903344,1664884.3877075936,1673433.3377303898,1682030.727041214,1690676.7578345663,1699371.6341182226,1708115.5617145183,1716908.7482616298,1725751.40321488,1734643.737848048,1743585.965254707,1752578.300349579,1761620.9598699252
2670,7,2021/3/2,0,1648174.0,1656699.0,1665103.0,1673470.0,1681682.0,1689692.0,1698005.0,1706559.0,1715162.0,1723470.0,1731558.0,1739360.0,1746953.0,1754933.0,1763313.0,1647892.5960469546,1656098.4930992946,1664290.828903371,1672463.1383547874,1680608.31692776,1688718.5877514496,1696785.4741269562,1704799.7795833389,1712751.57786369,1720630.2154877356,1728424.3297228122,1736121.884870763,1743710.2296992668,1751176.1785651124,1758506.1182496494
2671,7,2021/3/3,0,1656699.0,1665103.0,1673470.0,1681682.0,1689692.0,1698005.0,1706559.0,1715162.0,1723470.0,1731558.0,1739360.0,1746953.0,1754933.0,1763313.0,1771115.0,1656505.3102078715,1664851.1718861256,1673209.2890803106,1681577.1808129367,1689952.170717877,1698331.3766640937,1706711.700484825,1715089.8179493302,1723462.1691370085,1731824.949397812,1740174.101108181,1748505.3064576327,1756813.981526975,1765095.2719442416,1773344.0504275148
2672,7,2021/3/4,0,1665103.0,1673470.0,1681682.0,1689692.0,1698005.0,1706559.0,1715162.0,1723470.0,1731558.0,1739360.0,1746953.0,1754933.0,1763313.0,1771115.0,1778645.0,1665113.927675283,1673553.4252606228,1682016.4012657222,1690501.6889477524,1699008.0427157308,1707534.1344657422,1716078.5498599822,1724639.784564937,1733216.2404666035,1741806.221883358,1750407.931800061,1759019.468150191,1767638.8201761332,1776263.864901326,1784892.363751634
2673,7,2021/3/5,0,1673470.0,1681682.0,1689692.0,1698005.0,1706559.0,1715162.0,1723470.0,1731558.0,1739360.0,1746953.0,1754933.0,1763313.0,1771115.0,1778645.0,1786265.0,1673538.9424021505,1681997.790273004,1690478.3198948784,1698979.2243464035,1707499.1096067473,1716036.4906039855,1724589.7872251722,1733157.3203085386,1741737.3076414545,1750327.8599910797,1758926.9771983195,1767532.5443694508,1776142.3282038698,1784753.9735005037,1793364.9998898003
2674,7,2021/3/6,0,1681682.0,1689692.0,1698005.0,1706559.0,1715162.0,1723470.0,1731558.0,1739360.0,1746953.0,1754933.0,1763313.0,1771115.0,1778645.0,1786265.0,1793805.0,1681905.9019202618,1690359.7311152767,1698829.795182886,1707314.2845067976,1715811.2667741976,1724318.681488468,1732834.3345193523,1741355.8927392971,1749880.8788014725,1758406.6661222314,1766930.4741382017,1775449.363916065,1783960.234200898,1792459.8179968528,1800944.679781651
2675,7,2021/3/7,0,1689692.0,1698005.0,1706559.0,1715162.0,1723470.0,1731558.0,1739360.0,1746953.0,1754933.0,1763313.0,1771115.0,1778645.0,1786265.0,1793805.0,1801065.0,1690053.3712613129,1698426.1713750293,1706796.875324969,1715161.6893347555,1723516.5391507295,1731857.0591999916,1740178.5829311165,1748476.1346837324,1756744.4234712715,1764977.8390971774,1773170.451056834,1781316.0107031623,1789407.9571705966,1797439.427557068,1805403.2718535715
2676,7,2021/3/8,0,1698005.0,1706559.0,1715162.0,1723470.0,1731558.0,1739360.0,1746953.0,1754933.0,1763313.0,1771115.0,1778645.0,1786265.0,1793805.0,1801065.0,1808422.0,1697921.2393747224,1706120.632974357,1714282.745937853,1722399.547280677,1730462.4003318278,1738462.0617858274,1746388.6912484905,1754231.8732256547,1761980.6534928672,1769623.591665306,1777148.8315360495,1784544.1903448894,1791797.2675642697,1798895.5730398565,1805826.6734125805
2677,7,2021/3/9,0,1706559.0,1715162.0,1723470.0,1731558.0,1739360.0,1746953.0,1754933.0,1763313.0,1771115.0,1778645.0,1786265.0,1793805.0,1801065.0,1808422.0,1815712.0,1706247.017015288,1714461.5424854795,1722641.9230046202,1730781.0140100238,1738871.1735655472,1746904.2624495062,1754871.6517923458,1762764.2395479914,1770572.4770740732,1778286.4070264215,1785895.7136289815,1793389.7861496052,1800757.7960863807,1807988.7881444648,1815071.7845633023
2678,7,2021/3/10,0,1715162.0,1723470.0,1731558.0,1739360.0,1746953.0,1754933.0,1763313.0,1771115.0,1778645.0,1786265.0,1793805.0,1801065.0,1808422.0,1815712.0,1823317.0,1714863.3452120177,1723144.831417705,1731397.424425772,1739614.6511582532,1747789.5921003202,1755914.878525603,1763982.6954660572,1771984.7914396808,1779912.4959636126,1787756.745854974,1795508.1212476045,1803156.892120291,1810693.0759334904,1818106.5067016,1825386.9154850484
2679,7,2021/3/11,0,1723470.0,1731558.0,1739360.0,1746953.0,1754933.0,1763313.0,1771115.0,1778645.0,1786265.0,1793805.0,1801065.0,1808422.0,1815712.0,1823317.0,1830823.0,1723562.6132220067,1731957.4679170728,1740342.883499313,1748714.944013778,1757069.49199078,1765402.1234852355,1773708.1845464483,1781982.7693819494,1790220.7204946082,1798416.6310839425,1806564.8500090844,1814659.4896109751,1822694.436683487,1830663.3668658328,1838559.7627005992
