,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
0,0,2020/5/10,0,1339022,1358293,1381241,1401649,1428467,1453214,1477373,1495736,1518126,1539133,1561830,1587596,1611253,1632364,1652431,1671104,1690754,1709303,1731625,1756098,1779731,1798718,1816154,1837656,1857511,1879150,1904550,1925710,1943626,1961263,1356936.13815221,1384974.39763556,1414243.96329319,1444080.64418839,1475585.00371763,1508005.02871441,1539839.59454383,1572835.32753323,1604534.72729298,1638930.48707955,1672524.42352772,1706037.50690446,1741610.96244276,1777144.47836269,1820157.45379539,1860146.32443624,1899163.80778805,1938465.83364835,1976090.43312759,2006486.08994456,2041878.43186203,2086936.9906748,2131564.55333862,2166118.22271621,2201803.79309635,2247276.78906281,2277823.05272016,2319702.35313384,2363793.62038734,2399965.66782978
1,0,2020/5/13,0,1401649,1428467,1453214,1477373,1495736,1518126,1539133,1561830,1587596,1611253,1632364,1652431,1671104,1690754,1709303,1731625,1756098,1779731,1798718,1816154,1837656,1857511,1879150,1904550,1925710,1943626,1961263,1979647,2000757,2023890,1420074.1160279,1450390.45097733,1481495.16627414,1512718.24615487,1545836.77169693,1580431.47739842,1616214.34529635,1649306.49676995,1686918.72849358,1732033.64120656,1769752.60484995,1809358.49044696,1848713.82277992,1882993.59607059,1930192.73709017,1968513.98080396,2009378.95454501,2046696.34480246,2088392.44337908,2129649.85122248,2170813.46815995,2216182.74128629,2267399.6764242,2319602.64830293,2365767.59629513,2415425.25807257,2479156.9206628,2517424.46359616,2574946.11791094,2625934.01000431
2,0,2020/5/17,0,1495736,1518126,1539133,1561830,1587596,1611253,1632364,1652431,1671104,1690754,1709303,1731625,1756098,1779731,1798718,1816154,1837656,1857511,1879150,1904550,1925710,1943626,1961263,1979647,2000757,2023890,2048756,2073964,2092912,2112731,1515714.07146286,1545166.70096966,1575238.9380854,1607223.55289026,1637827.62883415,1672284.34828913,1705918.19765833,1735551.42172463,1770491.67471729,1807564.45575521,1845674.12463407,1888273.30293396,1928494.47109556,1971650.39322886,2009458.85469756,2057918.08991256,2107170.53761659,2147432.66277846,2187679.74428971,2234052.79727969,2262200.5972256,2284465.530908,2341441.84341467,2401852.85047216,2445097.70164638,2488882.90743127,2538607.41372597,2571532.0391502,2610533.73802941,2651139.78495476
3,0,2020/5/20,0,1561830,1587596,1611253,1632364,1652431,1671104,1690754,1709303,1731625,1756098,1779731,1798718,1816154,1837656,1857511,1879150,1904550,1925710,1943626,1961263,1979647,2000757,2023890,2048756,2073964,2092912,2112731,2136401,2163465,2191991,1583567.53568294,1616307.93138368,1649360.77517682,1684359.72802984,1719808.23389975,1754070.40302542,1788229.83363713,1827305.26735891,1869095.37669184,1909418.22983697,1954013.83203672,1988926.14529304,2029597.25000864,2071320.72700188,2113818.95431225,2157816.87130448,2203859.47975904,2245949.07621497,2285383.07109093,2331156.53136614,2375304.95779358,2417104.82404116,2454271.24277336,2493368.63172194,2536755.72696067,2578518.35272575,2619124.338068,2654416.87763544,2680571.56097755,2740127.87351168
4,0,2020/5/24,0,1652431,1671104,1690754,1709303,1731625,1756098,1779731,1798718,1816154,1837656,1857511,1879150,1904550,1925710,1943626,1961263,1979647,2000757,2023890,2048756,2073964,2092912,2112731,2136401,2163465,2191991,2223553,2255823,2280971,2313123,1672884.7989705,1702764.81979552,1734063.88129087,1765879.69797697,1799534.04380131,1834649.34857518,1866498.32637889,1901715.6091128,1937036.84996962,1975693.83075286,2010288.12643177,2045601.25678026,2080530.04447332,2117033.46474938,2157101.47819627,2197673.93620969,2235261.40052079,2269435.73645101,2305901.50422171,2348476.75023951,2398268.95810205,2446344.91428777,2487221.89695419,2522519.66869504,2553072.90239817,2603819.56833563,2647658.42642667,2691661.46605696,2726307.37350846,2761342.59641753
5,0,2020/5/27,0,1709303,1731625,1756098,1779731,1798718,1816154,1837656,1857511,1879150,1904550,1925710,1943626,1961263,1979647,2000757,2023890,2048756,2073964,2092912,2112731,2136401,2163465,2191991,2223553,2255823,2280971,2313123,2350198,2386074,2426391,1726566.87390583,1753770.55659893,1782961.267536,1811608.72103959,1841347.36616574,1870733.35707375,1898234.61505134,1929753.62991271,1964239.51840495,1998792.61004064,2031635.35213362,2061267.50145102,2101151.78053517,2136036.51043913,2162380.94591479,2202707.28001432,2236034.47392715,2260418.92290576,2285262.63867081,2313916.85929081,2344949.03176798,2377167.68047283,2414835.12559605,2441144.5265366,2468956.61629442,2510652.33363825,2544969.87660017,2572908.33753491,2607900.90680062,2642814.30356532
6,0,2020/5/31,0,1798718,1816154,1837656,1857511,1879150,1904550,1925710,1943626,1961263,1979647,2000757,2023890,2048756,2073964,2092912,2112731,2136401,2163465,2191991,2223553,2255823,2280971,2313123,2350198,2386074,2426391,2472385,2513731,2554461,2595744,1819933.82503393,1850860.63107792,1881867.86531126,1914673.38153538,1945286.92269118,1977316.23168589,2009975.16789993,2042685.71722506,2077045.79607633,2113907.80484284,2148210.31985856,2182211.99128455,2216093.596011,2250720.20462948,2283125.02563131,2319428.49411712,2356472.57110276,2406023.02942736,2455985.35644404,2502376.65154431,2538670.9760302,2577568.45908223,2623117.81483293,2661871.46238973,2697565.63635971,2735997.43392145,2785796.65155924,2829641.49665897,2873729.79419011,2908817.71620036
7,0,2020/6/3,0,1857511,1879150,1904550,1925710,1943626,1961263,1979647,2000757,2023890,2048756,2073964,2092912,2112731,2136401,2163465,2191991,2223553,2255823,2280971,2313123,2350198,2386074,2426391,2472385,2513731,2554461,2595744,2642174,2693993,2750622,1876776.80546167,1903566.88245879,1930022.32820366,1957730.5386382,1988090.51896071,2016704.03544925,2046205.83286349,2077689.40636702,2106870.14412555,2135375.25779191,2172422.80031263,2208372.46526576,2237436.40341189,2270615.92955704,2298352.43673486,2329522.93219737,2365801.79454096,2397362.670703,2425010.47741743,2457067.91841398,2486217.94076046,2515954.34153606,2549031.44104699,2579209.24148309,2608865.29046436,2649096.55912924,2682758.37810943,2716960.27008146,2758650.64223376,2798082.27725091
8,0,2020/6/7,0,1943626,1961263,1979647,2000757,2023890,2048756,2073964,2092912,2112731,2136401,2163465,2191991,2223553,2255823,2280971,2313123,2350198,2386074,2426391,2472385,2513731,2554461,2595744,2642174,2693993,2750622,2801983,2847664,2898432,2941517,1970631.00391692,1999953.90949853,2029833.6440261,2062395.69872176,2097380.07478677,2130461.66947802,2166632.26762604,2201818.41098495,2237851.20639924,2274309.67478071,2317219.96710166,2359684.14244538,2397232.9520869,2435142.51110123,2475793.70809796,2507851.7369631,2545411.18600177,2584421.86074,2621190.59695994,2662713.92182457,2699410.0813436,2745075.21501788,2785950.39798468,2827947.89675142,2877573.33940492,2921361.30115183,2958471.80047388,2998572.7283348,3049771.37756779,3099565.77159841
9,0,2020/6/10,0,2000757,2023890,2048756,2073964,2092912,2112731,2136401,2163465,2191991,2223553,2255823,2280971,2313123,2350198,2386074,2426391,2472385,2513731,2554461,2595744,2642174,2693993,2750622,2801983,2847664,2898432,2941517,3002171,3062290,3124786,2033064.9135619,2067728.0392519,2103214.91978005,2139328.08189908,2175938.18418742,2213474.8056774,2250773.58747932,2288786.48994717,2334961.28088364,2373443.0604643,2410052.16177207,2456020.41768354,2501523.90133961,2545355.4758952,2590472.53740821,2634375.00279585,2674522.70319761,2718959.1259062,2762258.38189356,2812021.50342243,2857075.08439704,2903873.56951885,2948641.33375232,2995268.8743481,3046748.75895195,3095484.70892233,3138493.00720341,3183743.20183332,3245465.73115856,3291006.50269003
10,0,2020/6/13,0,2073964,2092912,2112731,2136401,2163465,2191991,2223553,2255823,2280971,2313123,2350198,2386074,2426391,2472385,2513731,2554461,2595744,2642174,2693993,2750622,2801983,2847664,2898432,2941517,3002171,3062290,3124786,3192841,3252874,3311312,2109157.94169483,2143991.13956826,2178483.36949612,2213909.55526527,2249912.88425151,2289907.15119246,2325862.25316172,2374011.33104123,2408222.31651114,2443011.33490356,2483213.54133865,2528710.88365444,2570556.42128146,2605796.77468365,2649823.46071283,2699646.11653701,2734425.39079836,2787453.44772585,2824376.68452499,2868794.97682143,2915810.16754009,2963020.46203058,3010103.18121786,3053877.80026204,3101357.90874713,3149201.05878748,3179450.55863287,3199364.20493514,3244300.69358343,3287038.84017335
11,0,2020/6/17,0,2163465,2191991,2223553,2255823,2280971,2313123,2350198,2386074,2426391,2472385,2513731,2554461,2595744,2642174,2693993,2750622,2801983,2847664,2898432,2941517,3002171,3062290,3124786,3192841,3252874,3311312,3370208,3438244,3506364,3582184,2195682.24361957,2228617.86306103,2263251.14292283,2299835.16085865,2335307.81776167,2369464.43129188,2407086.45346416,2446136.74876959,2482930.70357668,2522086.98420194,2563905.05033719,2608376.69750131,2647433.05698143,2687851.62601255,2728282.7612028,2772076.11299347,2819036.29337186,2869766.59445174,2911346.64737667,2954636.96144519,2997482.85951304,3055666.85570874,3099935.43173913,3143031.98157939,3190653.70160846,3232336.78870096,3273181.79517034,3313368.73686992,3363393.17814522,3418682.21366527
