,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
16,0,2020/5/25,0,1671104,1690754,1709303,1731625,1756098,1779731,1798718,1816154,1837656,1857511,1879150,1904550,1925710,1943626,1961263,1673349.0,1695292.0,1717064.0,1738631.0,1759942.0,1781023.0,1801881.0,1822533.0,1842962.0,1863155.0,1883104.0,1902804.0,1922258.0,1941464.0,1960420.0
17,0,2020/5/26,0,1690754,1709303,1731625,1756098,1779731,1798718,1816154,1837656,1857511,1879150,1904550,1925710,1943626,1961263,1979647,1691954.0,1713458.0,1734765.0,1755829.0,1776676.0,1797317.0,1817771.0,1837964.0,1857926.0,1877650.0,1897131.0,1916370.0,1935364.0,1954109.0,1972598.0
18,0,2020/5/27,0,1709303,1731625,1756098,1779731,1798718,1816154,1837656,1857511,1879150,1904550,1925710,1943626,1961263,1979647,2000757,1710425.0,1731495.0,1752332.0,1772962.0,1793397.0,1813658.0,1833681.0,1853436.0,1872958.0,1892243.0,1911290.0,1930096.0,1948656.0,1966962.0,1985011.0
19,0,2020/5/28,0,1731625,1756098,1779731,1798718,1816154,1837656,1857511,1879150,1904550,1925710,1943626,1961263,1979647,2000757,2023890,1728427.0,1749225.0,1769840.0,1790274.0,1810534.0,1830606.0,1850475.0,1870146.0,1889619.0,1908908.0,1928021.0,1946969.0,1965727.0,1984286.0,2002624.0
20,0,2020/5/29,0,1756098,1779731,1798718,1816154,1837656,1857511,1879150,1904550,1925710,1943626,1961263,1979647,2000757,2023890,2048756,1751015.0,1771584.0,1791971.0,1812182.0,1832201.0,1852017.0,1871631.0,1891044.0,1910267.0,1929303.0,1948162.0,1966817.0,1985258.0,2003463.0,2021436.0
21,0,2020/5/30,0,1779731,1798718,1816154,1837656,1857511,1879150,1904550,1925710,1943626,1961263,1979647,2000757,2023890,2048756,2073964,1775945.0,1796980.0,1817879.0,1838627.0,1859215.0,1879648.0,1899930.0,1920073.0,1940073.0,1959937.0,1979643.0,1999180.0,2018529.0,2037690.0,2056683.0
22,0,2020/5/31,0,1798718,1816154,1837656,1857511,1879150,1904550,1925710,1943626,1961263,1979647,2000757,2023890,2048756,2073964,2092912,1800229.0,1821107.0,1841800.0,1862281.0,1882502.0,1902451.0,1922142.0,1941585.0,1960788.0,1979737.0,1998425.0,2016845.0,2034998.0,2052886.0,2070508.0
23,0,2020/6/1,0,1816154,1837656,1857511,1879150,1904550,1925710,1943626,1961263,1979647,2000757,2023890,2048756,2073964,2092912,2112731,1820082.0,1840884.0,1861510.0,1881919.0,1902105.0,1922087.0,1941879.0,1961467.0,1980840.0,1999990.0,2018913.0,2037609.0,2056076.0,2074313.0,2092315.0
24,0,2020/6/2,0,1837656,1857511,1879150,1904550,1925710,1943626,1961263,1979647,2000757,2023890,2048756,2073964,2092912,2112731,2136401,1836854.0,1857041.0,1877011.0,1896761.0,1916307.0,1935661.0,1954812.0,1973738.0,1992445.0,2010927.0,2029184.0,2047218.0,2065028.0,2082610.0,2099960.0
25,0,2020/6/3,0,1857511,1879150,1904550,1925710,1943626,1961263,1979647,2000757,2023890,2048756,2073964,2092912,2112731,2136401,2163465,1857937.0,1878344.0,1898596.0,1918707.0,1938673.0,1958487.0,1978135.0,1997627.0,2016952.0,2036110.0,2055113.0,2073970.0,2092679.0,2111231.0,2129601.0
